"Timestamp per day",Attacks,"Unique Src IPs"
1721426400000,147,21
1721512800000,104,13
1721599200000,131,21
1721685600000,126,13
1721772000000,78,13
1721858400000,57,13
1721944800000,76,14
1722031200000,95,14
1722117600000,111,13
1722204000000,185,15
1722290400000,137,14
1722376800000,237,20
1722463200000,147,20
1722549600000,130,13
1722636000000,95,18
1722722400000,122,21
1722808800000,89,18
1722895200000,137,19
1722981600000,82,24
1723068000000,71,16
1723154400000,72,20
1723240800000,371,30
1723327200000,204,26
1723413600000,240,28
1723500000000,185,30
1723586400000,369,22
1723672800000,190,30
1723759200000,173,21
1723845600000,173,22
1723932000000,175,19
1724018400000,193,30
1724104800000,217,27
1724191200000,334,32
1724277600000,204,29
1724364000000,352,26
1724450400000,376,27
1724536800000,249,28
1724623200000,488,27
1724709600000,556,30
1724796000000,559,27
1724882400000,307,31
1724968800000,537,27
1725055200000,533,26
1725141600000,513,28
1725228000000,675,33
1725314400000,352,33
1725400800000,658,37
1725487200000,429,28
1725573600000,730,33
1725660000000,702,34
1725746400000,573,32
1725832800000,258,33
1725919200000,360,29
1726005600000,329,23
1726092000000,694,33
1726178400000,695,32
1726264800000,690,39
1726351200000,614,29
1726437600000,618,26
1726524000000,941,44
1726610400000,778,41
1726696800000,842,34
1726783200000,864,34
1726869600000,933,34
1726956000000,759,26
1727042400000,755,29
1727128800000,490,22
1727215200000,609,35
1727301600000,628,32
1727388000000,826,35
1727474400000,590,34
1727560800000,350,39
1727647200000,430,36
1727733600000,393,32
1727820000000,494,37
1727906400000,512,37
1727992800000,288,36
1728079200000,413,40
1728165600000,721,49
1728252000000,268,36
1728338400000,298,35
1728424800000,327,26
1728511200000,304,35
1728597600000,133,28
1728684000000,149,39
1728770400000,201,35
1728856800000,114,29
1728943200000,134,23
1729029600000,136,31
1729116000000,181,32
1729202400000,150,33
1729288800000,178,31
1729375200000,158,33
1729461600000,145,27
1729548000000,201,30
1729634400000,183,32
1729720800000,131,27
1729807200000,117,30
1729893600000,174,35
1729980000000,217,37
1730070000000,147,24
1730156400000,157,23
1730242800000,243,29
1730329200000,262,31
1730415600000,317,32
1730502000000,306,30
1730588400000,351,31
1730674800000,433,28
1730761200000,363,32
1730847600000,409,28
1730934000000,547,37
1731020400000,446,42
1731106800000,449,38
1731193200000,435,33
1731279600000,398,33
1731366000000,315,21
1731452400000,276,20
1731538800000,405,32
1731625200000,322,32
1731711600000,317,29
1731798000000,335,31
1731884400000,579,39
1731970800000,379,41
1732057200000,265,24
1732143600000,360,33
1732230000000,622,38
1732316400000,797,46
1732402800000,825,46
1732489200000,1016,34
1732575600000,942,34
1732662000000,796,40
1732748400000,578,44
1732834800000,487,35
1732921200000,515,45
1733007600000,664,45
1733094000000,668,43
1733180400000,822,43
1733266800000,422,37
1733353200000,560,43
1733439600000,664,46
1733526000000,499,39
1733612400000,354,33
1733698800000,412,40
1733785200000,660,35
1733871600000,763,40
1733958000000,797,45
1734044400000,531,32
1734130800000,675,60
1734217200000,406,34
1734303600000,671,42
1734390000000,643,44
1734476400000,469,37
1734562800000,549,51
1734649200000,772,57
1734735600000,808,54
1734822000000,678,49
1734908400000,734,45
1734994800000,498,43
1735081200000,595,42
1735167600000,569,43
1735254000000,636,46
1735340400000,297,26
1735426800000,342,37
1735513200000,285,36
1735599600000,369,34
1735686000000,278,38
1735772400000,380,34
1735858800000,204,29
1735945200000,199,21
1736031600000,140,34
1736118000000,205,27
1736204400000,199,30
1736290800000,239,32
1736377200000,269,27
1736463600000,234,27
1736550000000,226,30
1736636400000,316,36
1736722800000,429,43
1736809200000,346,45
1736895600000,380,42
1736982000000,518,46
1737068400000,434,46
1737154800000,332,36
1737241200000,221,36
1737327600000,462,47
1737414000000,214,34
1737500400000,367,43
1737586800000,454,45
1737673200000,528,46
1737759600000,566,39
1737846000000,537,41
1737932400000,604,50
1738018800000,287,23
1738105200000,296,38
1738191600000,351,34
1738278000000,699,42
1738364400000,315,48
1738450800000,302,42
1738537200000,279,42
1738623600000,204,35
1738710000000,236,45
1738796400000,148,46
1738882800000,356,44
1738969200000,192,45
1739055600000,202,31
1739142000000,227,45
1739228400000,368,33
1739314800000,265,32
1739401200000,394,44
1739487600000,276,28
1739574000000,421,48
1739660400000,286,46
1739746800000,517,60
1739833200000,567,48
1739919600000,414,44
1740006000000,511,55
1740092400000,306,46
1740178800000,528,62
1740265200000,349,54
1740351600000,402,44
1740438000000,435,49
1740524400000,540,58
1740610800000,554,54
1740697200000,512,59
1740783600000,631,63
1740870000000,447,46
1740956400000,585,62
1741042800000,580,54
1741129200000,842,59
1741215600000,1097,54
1741302000000,795,53
1741388400000,881,61
1741474800000,1053,61
1741561200000,927,57
1741647600000,684,64
1741734000000,822,66
1741820400000,499,40
1741906800000,758,66
1741993200000,476,52
1742079600000,576,56
1742166000000,599,55
1742252400000,442,52
1742338800000,740,54
1742425200000,490,59
1742511600000,613,66
1742598000000,401,46
1742684400000,441,53
1742770800000,742,56
1742857200000,654,51
1742943600000,780,67
1743030000000,933,47
1743116400000,1523,56
1743202800000,980,67
1743289200000,644,49
1743372000000,901,54
1743458400000,902,71
1743544800000,980,60
1743631200000,582,46
1743717600000,621,43
1743804000000,786,58
1743890400000,1001,55
1743976800000,953,53
1744063200000,995,57
1744149600000,962,53
1744236000000,851,50
1744322400000,992,50
1744408800000,1110,60
1744495200000,1656,70
1744581600000,1712,71
1744668000000,1029,64
1744754400000,720,62
1744840800000,1194,62
1744927200000,1339,66
1745013600000,1722,74
