"Timestamp per day",Filters,Attacks,"Unique Src IPs"
1721426400000,All,187,21
1721426400000,Exploit,,
1721512800000,All,195,19
1721512800000,Exploit,,
1721599200000,All,245,24
1721599200000,Exploit,,
1721685600000,All,161,17
1721685600000,Exploit,,
1721772000000,All,132,19
1721772000000,Exploit,,
1721858400000,All,189,15
1721858400000,Exploit,,
1721944800000,All,107,15
1721944800000,Exploit,,
1722031200000,All,157,17
1722031200000,Exploit,,
1722117600000,All,12512,19
1722117600000,Exploit,,
1722204000000,All,16393,16
1722204000000,Exploit,,
1722290400000,All,28422,20
1722290400000,Exploit,,
1722376800000,All,23806,18
1722376800000,Exploit,,
1722463200000,All,13401,18
1722463200000,Exploit,,
1722549600000,All,35207,22
1722549600000,Exploit,,
1722636000000,All,15342,25
1722636000000,Exploit,,
1722722400000,All,2250,18
1722722400000,Exploit,,
1722808800000,All,3406,37
1722808800000,Exploit,,
1722895200000,All,2075,27
1722895200000,Exploit,,
1722981600000,All,3152,22
1722981600000,Exploit,,
1723068000000,All,2684,29
1723068000000,Exploit,,
1723154400000,All,6153,15
1723154400000,Exploit,,
1723240800000,All,15351,51
1723240800000,Exploit,,
1723327200000,All,32373,41
1723327200000,Exploit,,
1723413600000,All,11863,47
1723413600000,Exploit,,
1723500000000,All,5652,50
1723500000000,Exploit,,
1723586400000,All,2492,21
1723586400000,Exploit,,
1723672800000,All,5508,35
1723672800000,Exploit,,
1723759200000,All,41277,33
1723759200000,Exploit,,
1723845600000,All,8711,55
1723845600000,Exploit,,
1723932000000,All,41537,51
1723932000000,Exploit,,
1724018400000,All,2071,57
1724018400000,Exploit,,
1724104800000,All,32241,46
1724104800000,Exploit,,
1724191200000,All,7679,44
1724191200000,Exploit,,
1724277600000,All,16442,61
1724277600000,Exploit,,
1724364000000,All,15704,42
1724364000000,Exploit,,
1724450400000,All,52807,61
1724450400000,Exploit,,
1724536800000,All,15709,52
1724536800000,Exploit,,
1724623200000,All,29071,66
1724623200000,Exploit,,
1724709600000,All,24544,78
1724709600000,Exploit,,
1724796000000,All,29805,59
1724796000000,Exploit,,
1724882400000,All,58261,54
1724882400000,Exploit,,
1724968800000,All,23443,74
1724968800000,Exploit,,
1725055200000,All,20793,65
1725055200000,Exploit,,
1725141600000,All,8284,52
1725141600000,Exploit,,
1725228000000,All,1209,42
1725228000000,Exploit,,
1725314400000,All,2487,35
1725314400000,Exploit,,
1725400800000,All,1809,13
1725400800000,Exploit,,
1725487200000,All,4039,21
1725487200000,Exploit,,
1725573600000,All,7896,30
1725573600000,Exploit,,
1725660000000,All,5464,39
1725660000000,Exploit,,
1725746400000,All,588,27
1725746400000,Exploit,,
1725832800000,All,278,33
1725832800000,Exploit,,
1725919200000,All,41530,22
1725919200000,Exploit,,
1726005600000,All,6106,30
1726005600000,Exploit,,
1726092000000,All,2059,14
1726092000000,Exploit,,
1726178400000,All,4949,26
1726178400000,Exploit,,
1726264800000,All,3840,44
1726264800000,Exploit,,
1726351200000,All,7665,51
1726351200000,Exploit,,
1726437600000,All,1592,12
1726437600000,Exploit,,
1726524000000,All,21666,58
1726524000000,Exploit,,
1726610400000,All,29917,54
1726610400000,Exploit,,
1726696800000,All,794,11
1726696800000,Exploit,,
1726783200000,All,13231,183
1726783200000,Exploit,,
1726869600000,All,5233,231
1726869600000,Exploit,,
1726956000000,All,6528,330
1726956000000,Exploit,,
1727042400000,All,8531,260
1727042400000,Exploit,,
1727128800000,All,10072,216
1727128800000,Exploit,,
1727215200000,All,11068,257
1727215200000,Exploit,,
1727301600000,All,15461,103
1727301600000,Exploit,,
1727388000000,All,11344,193
1727388000000,Exploit,,
1727474400000,All,12019,46
1727474400000,Exploit,,
1727560800000,All,13622,30
1727560800000,Exploit,,
1727647200000,All,18373,30
1727647200000,Exploit,,
1727733600000,All,27578,40
1727733600000,Exploit,,
1727820000000,All,2154,14
1727820000000,Exploit,,
1727906400000,All,9234,96
1727906400000,Exploit,,
1727992800000,All,33867,58
1727992800000,Exploit,,
1728079200000,All,22054,36
1728079200000,Exploit,,
1728165600000,All,9397,32
1728165600000,Exploit,,
1728252000000,All,15345,37
1728252000000,Exploit,,
1728338400000,All,10889,35
1728338400000,Exploit,,
1728424800000,All,26522,105
1728424800000,Exploit,,
1728511200000,All,45801,216
1728511200000,Exploit,,
1728597600000,All,5816,102
1728597600000,Exploit,,
1728684000000,All,8601,25
1728684000000,Exploit,,
1728770400000,All,12275,37
1728770400000,Exploit,,
1728856800000,All,8377,28
1728856800000,Exploit,,
1728943200000,All,10899,32
1728943200000,Exploit,,
1729029600000,All,16065,32
1729029600000,Exploit,,
1729116000000,All,1735,20
1729116000000,Exploit,,
1729202400000,All,23671,21
1729202400000,Exploit,,
1729288800000,All,5944,18
1729288800000,Exploit,,
1729375200000,All,7219,43
1729375200000,Exploit,,
1729461600000,All,7964,22
1729461600000,Exploit,,
1729548000000,All,10343,33
1729548000000,Exploit,,
1729634400000,All,3231,27
1729634400000,Exploit,,
1729720800000,All,2999,21
1729720800000,Exploit,,
1729807200000,All,6900,17
1729807200000,Exploit,,
1729893600000,All,6353,17
1729893600000,Exploit,,
1729980000000,All,8338,23
1729980000000,Exploit,,
1730070000000,All,48523,158
1730070000000,Exploit,,
1730156400000,All,10371,83
1730156400000,Exploit,,
1730242800000,All,6809,436
1730242800000,Exploit,,
1730329200000,All,7515,1100
1730329200000,Exploit,,
1730415600000,All,21195,564
1730415600000,Exploit,,
1730502000000,All,130920,110
1730502000000,Exploit,,
1730588400000,All,112451,115
1730588400000,Exploit,,
1730674800000,All,40127,143
1730674800000,Exploit,,
1730761200000,All,22052,147
1730761200000,Exploit,,
1730847600000,All,76061,119
1730847600000,Exploit,,
1730934000000,All,61141,101
1730934000000,Exploit,,
1731020400000,All,5300,58
1731020400000,Exploit,,
1731106800000,All,2998,48
1731106800000,Exploit,,
1731193200000,All,5617,61
1731193200000,Exploit,,
1731279600000,All,53769,79
1731279600000,Exploit,,
1731366000000,All,19286,92
1731366000000,Exploit,,
1731452400000,All,17006,126
1731452400000,Exploit,,
1731538800000,All,18882,112
1731538800000,Exploit,,
1731625200000,All,9515,142
1731625200000,Exploit,,
1731711600000,All,7898,67
1731711600000,Exploit,,
1731798000000,All,27207,144
1731798000000,Exploit,,
1731884400000,All,36923,138
1731884400000,Exploit,,
1731970800000,All,8551,152
1731970800000,Exploit,,
1732057200000,All,16655,107
1732057200000,Exploit,,
1732143600000,All,6131,69
1732143600000,Exploit,,
1732230000000,All,24850,85
1732230000000,Exploit,,
1732316400000,All,11924,183
1732316400000,Exploit,,
1732402800000,All,11084,237
1732402800000,Exploit,,
1732489200000,All,61265,345
1732489200000,Exploit,,
1732575600000,All,71691,384
1732575600000,Exploit,,
1732662000000,All,35236,214
1732662000000,Exploit,,
1732748400000,All,32871,306
1732748400000,Exploit,,
1732834800000,All,47063,321
1732834800000,Exploit,,
1732921200000,All,53280,311
1732921200000,Exploit,,
1733007600000,All,44153,287
1733007600000,Exploit,,
1733094000000,All,44341,307
1733094000000,Exploit,,
1733180400000,All,44428,313
1733180400000,Exploit,,
1733266800000,All,36540,298
1733266800000,Exploit,,
1733353200000,All,33697,288
1733353200000,Exploit,,
1733439600000,All,25432,278
1733439600000,Exploit,,
1733526000000,All,33848,280
1733526000000,Exploit,,
1733612400000,All,28440,173
1733612400000,Exploit,,
1733698800000,All,74305,306
1733698800000,Exploit,,
1733785200000,All,89591,294
1733785200000,Exploit,,
1733871600000,All,199041,318
1733871600000,Exploit,,
1733958000000,All,173065,367
1733958000000,Exploit,,
1734044400000,All,168998,317
1734044400000,Exploit,,
1734130800000,All,98128,255
1734130800000,Exploit,,
1734217200000,All,108578,326
1734217200000,Exploit,,
1734303600000,All,98883,394
1734303600000,Exploit,,
1734390000000,All,127348,354
1734390000000,Exploit,,
1734476400000,All,150916,326
1734476400000,Exploit,,
1734562800000,All,96971,357
1734562800000,Exploit,,
1734649200000,All,117756,387
1734649200000,Exploit,,
1734735600000,All,89684,391
1734735600000,Exploit,,
1734822000000,All,51689,297
1734822000000,Exploit,,
1734908400000,All,73442,249
1734908400000,Exploit,,
1734994800000,All,84470,234
1734994800000,Exploit,,
1735081200000,All,61358,282
1735081200000,Exploit,,
1735167600000,All,76248,297
1735167600000,Exploit,,
1735254000000,All,86575,332
1735254000000,Exploit,,
1735340400000,All,17359,164
1735340400000,Exploit,,
1735426800000,All,30203,84
1735426800000,Exploit,,
1735513200000,All,51074,83
1735513200000,Exploit,,
1735599600000,All,27683,45
1735599600000,Exploit,,
1735686000000,All,72977,54
1735686000000,Exploit,,
1735772400000,All,41579,53
1735772400000,Exploit,,
1735858800000,All,38269,59
1735858800000,Exploit,,
1735945200000,All,20948,45
1735945200000,Exploit,,
1736031600000,All,20464,55
1736031600000,Exploit,,
1736118000000,All,19038,54
1736118000000,Exploit,,
1736204400000,All,17386,51
1736204400000,Exploit,,
