"Timestamp per day",Filters,Attacks,"Unique Src IPs"
1721426400000,All,138,28
1721426400000,Scan,,
1721426400000,Exploit,,
1721512800000,All,224,31
1721512800000,Scan,,
1721512800000,Exploit,,
1721599200000,All,102,32
1721599200000,Scan,,
1721599200000,Exploit,,
1721685600000,All,106,34
1721685600000,Scan,,
1721685600000,Exploit,,
1721772000000,All,131,45
1721772000000,Scan,,
1721772000000,Exploit,,
1721858400000,All,107,37
1721858400000,Scan,,
1721858400000,Exploit,,
1721944800000,All,85,34
1721944800000,Scan,,
1721944800000,Exploit,,
1722031200000,All,90,28
1722031200000,Scan,,
1722031200000,Exploit,,
1722117600000,All,162,53
1722117600000,Scan,2,2
1722117600000,Exploit,,
1722204000000,All,72,22
1722204000000,Scan,,
1722204000000,Exploit,,
1722290400000,All,82,32
1722290400000,Scan,,
1722290400000,Exploit,,
1722376800000,All,103,33
1722376800000,Scan,1,1
1722376800000,Exploit,,
1722463200000,All,141,36
1722463200000,Scan,1,1
1722463200000,Exploit,,
1722549600000,All,129,36
1722549600000,Scan,,
1722549600000,Exploit,,
1722636000000,All,119,33
1722636000000,Scan,,
1722636000000,Exploit,,
1722722400000,All,103,34
1722722400000,Scan,1,1
1722722400000,Exploit,,
1722808800000,All,93,32
1722808800000,Scan,,
1722808800000,Exploit,,
1722895200000,All,143,36
1722895200000,Scan,1,1
1722895200000,Exploit,,
1722981600000,All,114,30
1722981600000,Scan,,
1722981600000,Exploit,,
1723068000000,All,48,13
1723068000000,Scan,,
1723068000000,Exploit,,
1723154400000,All,136,37
1723154400000,Scan,1,1
1723154400000,Exploit,,
1723240800000,All,204,56
1723240800000,Scan,2,2
1723240800000,Exploit,,
1723327200000,All,191,36
1723327200000,Scan,,
1723327200000,Exploit,,
1723413600000,All,244,66
1723413600000,Scan,,
1723413600000,Exploit,,
1723500000000,All,169,49
1723500000000,Scan,,
1723500000000,Exploit,,
1723586400000,All,194,62
1723586400000,Scan,,
1723586400000,Exploit,,
1723672800000,All,274,52
1723672800000,Scan,1,1
1723672800000,Exploit,,
1723759200000,All,198,57
1723759200000,Scan,2,2
1723759200000,Exploit,,
1723845600000,All,155,50
1723845600000,Scan,,
1723845600000,Exploit,,
1723932000000,All,233,50
1723932000000,Scan,,
1723932000000,Exploit,,
1724018400000,All,93,38
1724018400000,Scan,,
1724018400000,Exploit,,
1724104800000,All,463,72
1724104800000,Scan,,
1724104800000,Exploit,,
1724191200000,All,217,81
1724191200000,Scan,,
1724191200000,Exploit,,
1724277600000,All,214,96
1724277600000,Scan,,
1724277600000,Exploit,,
1724364000000,All,201,79
1724364000000,Scan,2,2
