"Timestamp per day",Attacks,"Unique Src IPs"
1721426400000,118,37
1721512800000,126,41
1721599200000,127,51
1721685600000,222,36
1721772000000,206,47
1721858400000,78,33
1721944800000,148,43
1722031200000,173,36
1722117600000,160,35
1722204000000,197,47
1722290400000,260,42
1722376800000,112,40
1722463200000,235,41
1722549600000,108,40
1722636000000,375,39
1722722400000,156,51
1722808800000,98,41
1722895200000,98,35
1722981600000,174,46
1723068000000,140,46
1723154400000,216,42
1723240800000,91,32
1723327200000,313,43
1723413600000,424,47
1723500000000,91,26
1723586400000,274,32
1723672800000,283,22
1723759200000,81,22
1723845600000,68,21
1723932000000,80,22
1724018400000,116,21
1724104800000,105,22
1724191200000,255,16
1724277600000,80,27
1724364000000,108,34
1724450400000,122,22
1724536800000,281,42
1724623200000,308,80
1724709600000,481,82
1724796000000,222,52
1724882400000,209,65
1724968800000,279,73
1725055200000,247,46
1725141600000,479,63
1725228000000,335,74
1725314400000,272,77
1725400800000,244,65
1725487200000,188,60
1725573600000,798,71
1725660000000,419,55
1725746400000,175,50
1725832800000,267,73
1725919200000,247,69
1726005600000,314,72
1726092000000,484,71
1726178400000,468,77
1726264800000,748,67
1726351200000,907,69
1726437600000,468,76
1726524000000,1347,85
1726610400000,430,47
1726696800000,294,80
1726783200000,314,55
1726869600000,427,86
1726956000000,406,57
1727042400000,279,52
1727128800000,573,62
1727215200000,693,60
1727301600000,586,55
1727388000000,689,76
1727474400000,253,69
1727560800000,513,64
1727647200000,450,81
1727733600000,506,84
1727820000000,319,51
1727906400000,901,60
1727992800000,337,84
1728079200000,685,53
1728165600000,640,60
1728252000000,275,46
1728338400000,515,83
1728424800000,773,70
1728511200000,577,50
1728597600000,364,69
1728684000000,260,54
1728770400000,274,61
1728856800000,347,69
1728943200000,472,55
1729029600000,293,49
1729116000000,302,63
1729202400000,311,68
1729288800000,513,67
1729375200000,431,49
1729461600000,264,68
1729548000000,256,51
1729634400000,245,57
1729720800000,397,57
1729807200000,274,66
1729893600000,363,79
1729980000000,503,54
1730070000000,283,72
1730156400000,220,49
1730242800000,435,49
1730329200000,382,67
1730415600000,251,74
1730502000000,275,76
1730588400000,198,44
1730674800000,665,91
1730761200000,324,65
1730847600000,473,65
1730934000000,232,59
1731020400000,544,88
1731106800000,546,80
1731193200000,470,90
1731279600000,480,85
1731366000000,177,47
1731452400000,295,52
1731538800000,311,81
1731625200000,299,70
1731711600000,293,73
1731798000000,345,68
1731884400000,896,115
1731970800000,552,91
1732057200000,547,74
1732143600000,347,68
1732230000000,357,98
1732316400000,489,79
1732402800000,1032,127
1732489200000,365,90
1732575600000,349,118
1732662000000,514,85
1732748400000,269,71
1732834800000,613,115
1732921200000,415,108
1733007600000,573,110
1733094000000,438,128
1733180400000,391,99
1733266800000,1188,110
1733353200000,397,93
1733439600000,843,73
1733526000000,633,115
1733612400000,468,78
1733698800000,766,116
1733785200000,375,109
1733871600000,388,110
1733958000000,616,110
1734044400000,365,90
1734130800000,493,93
1734217200000,239,77
1734303600000,423,73
1734390000000,656,90
1734476400000,567,120
1734562800000,240,74
1734649200000,562,95
1734735600000,448,133
1734822000000,335,109
1734908400000,403,107
1734994800000,432,106
1735081200000,400,102
1735167600000,276,95
1735254000000,891,84
1735340400000,394,71
1735426800000,616,95
1735513200000,432,81
1735599600000,234,79
1735686000000,406,73
1735772400000,338,66
1735858800000,195,56
1735945200000,195,63
1736031600000,318,73
1736118000000,424,101
1736204400000,271,66
1736290800000,281,91
1736377200000,389,81
1736463600000,437,70
1736550000000,253,74
1736636400000,671,94
1736722800000,445,139
1736809200000,401,109
1736895600000,367,71
1736982000000,733,118
1737068400000,408,86
1737154800000,429,99
1737241200000,486,123
1737327600000,849,121
1737414000000,496,76
1737500400000,366,101
1737586800000,419,78
1737673200000,400,87
1737759600000,347,94
1737846000000,676,101
1737932400000,750,108
1738018800000,225,55
1738105200000,274,86
1738191600000,379,76
1738278000000,226,59
1738364400000,512,107
1738450800000,348,83
1738537200000,444,119
1738623600000,399,88
1738710000000,498,84
1738796400000,439,71
1738882800000,372,92
1738969200000,382,83
1739055600000,359,70
1739142000000,722,124
1739228400000,303,75
1739314800000,501,56
1739401200000,371,97
1739487600000,502,87
1739574000000,528,110
1739660400000,307,93
1739746800000,626,120
1739833200000,497,133
1739919600000,322,99
1740006000000,615,118
1740092400000,412,127
1740178800000,385,94
1740265200000,386,105
1740351600000,442,142
1740438000000,387,122
1740524400000,933,143
1740610800000,319,83
1740697200000,504,92
1740783600000,483,126
1740870000000,405,105
1740956400000,980,143
1741042800000,422,124
1741129200000,449,108
1741215600000,657,141
1741302000000,664,124
1741388400000,689,121
1741474800000,702,95
1741561200000,656,118
1741647600000,425,106
1741734000000,399,83
1741820400000,357,96
1741906800000,537,120
1741993200000,423,92
1742079600000,568,84
1742166000000,463,119
1742252400000,625,91
1742338800000,552,122
1742425200000,572,131
1742511600000,545,113
1742598000000,730,107
1742684400000,528,115
1742770800000,751,112
1742857200000,331,86
1742943600000,524,62
1743030000000,878,120
1743116400000,842,77
1743202800000,434,72
1743289200000,386,125
1743372000000,590,128
1743458400000,1069,129
1743544800000,710,107
1743631200000,471,140
1743717600000,298,92
1743804000000,382,104
1743890400000,403,121
1743976800000,408,130
1744063200000,333,87
1744149600000,286,88
1744236000000,411,75
1744322400000,383,90
1744408800000,680,76
1744495200000,762,95
1744581600000,379,91
1744668000000,293,69
1744754400000,570,107
1744840800000,830,131
1744927200000,422,96
1745013600000,830,113
