"Timestamp per day",Attacks,"Unique Src IPs","Unique HASSHs"
1721426400000,45322,390,20
1721512800000,58360,389,19
1721599200000,69330,408,25
1721685600000,46410,351,21
1721772000000,50332,408,25
1721858400000,46167,354,19
1721944800000,73228,365,22
1722031200000,48350,343,21
1722117600000,60622,361,22
1722204000000,58163,419,24
1722290400000,33098,361,21
1722376800000,34104,330,19
1722463200000,30347,301,24
1722549600000,30654,350,22
1722636000000,47397,325,18
1722722400000,48105,332,25
1722808800000,41509,304,22
1722895200000,29380,252,18
1722981600000,47788,342,22
1723068000000,51384,322,21
1723154400000,41037,297,22
1723240800000,103352,657,32
1723327200000,81553,692,28
1723413600000,76435,583,32
1723500000000,93347,537,27
1723586400000,86691,565,28
1723672800000,84097,500,27
1723759200000,85621,546,32
1723845600000,96448,485,27
1723932000000,98608,575,30
1724018400000,138919,494,29
1724104800000,103558,556,34
1724191200000,144001,652,31
1724277600000,96681,537,27
1724364000000,54770,434,24
1724450400000,103720,599,25
1724536800000,112185,694,25
1724623200000,92670,659,26
1724709600000,83462,688,27
1724796000000,79411,679,32
1724882400000,80042,694,29
1724968800000,66195,638,33
1725055200000,49164,635,28
1725141600000,66200,671,27
1725228000000,54509,717,27
1725314400000,89788,779,27
1725400800000,63830,713,29
1725487200000,54373,694,28
1725573600000,86720,830,27
1725660000000,52684,706,28
1725746400000,47986,671,27
1725832800000,70461,728,26
1725919200000,89788,812,29
1726005600000,81634,715,25
1726092000000,56848,639,30
1726178400000,221993,689,30
1726264800000,68474,708,25
1726351200000,71862,648,28
1726437600000,51264,700,26
1726524000000,73663,807,27
1726610400000,65396,746,28
1726696800000,69204,1001,27
1726783200000,165311,643,35
1726869600000,58752,652,29
1726956000000,65656,710,26
1727042400000,74198,717,27
1727128800000,31164,494,26
1727215200000,53508,633,31
1727301600000,65537,651,28
1727388000000,62438,591,27
1727474400000,49622,602,25
1727560800000,32370,541,24
1727647200000,38519,606,30
1727733600000,33390,655,23
1727820000000,41946,794,24
1727906400000,40135,876,25
1727992800000,48734,1049,27
1728079200000,34819,886,27
1728165600000,43937,952,27
1728252000000,27592,1289,21
1728338400000,13642,935,19
1728424800000,60882,1398,23
1728511200000,34249,972,22
1728597600000,23759,868,17
1728684000000,16984,821,18
1728770400000,9345,724,13
1728856800000,16885,704,12
1728943200000,16358,664,15
1729029600000,16306,670,19
1729116000000,7194,667,14
1729202400000,8407,618,17
1729288800000,12969,632,15
1729375200000,9582,544,19
1729461600000,31080,825,23
1729548000000,58097,1187,23
1729634400000,19028,1002,24
1729720800000,19243,872,22
1729807200000,10471,932,16
1729893600000,12365,829,16
1729980000000,60012,1054,22
1730070000000,45540,891,25
1730156400000,29343,635,19
1730242800000,48746,661,22
1730329200000,62383,652,27
1730415600000,213880,782,32
1730502000000,71478,546,28
1730588400000,37573,371,28
1730674800000,33625,478,30
1730761200000,35361,446,27
1730847600000,32269,420,26
1730934000000,33882,419,25
1731020400000,32984,359,23
1731106800000,30432,378,27
1731193200000,35858,433,23
1731279600000,34271,397,26
1731366000000,35302,406,29
1731452400000,52055,393,28
1731538800000,83506,387,34
1731625200000,23674,425,31
1731711600000,39932,459,28
1731798000000,50117,384,25
1731884400000,26045,430,27
1731970800000,38199,389,30
1732057200000,160211,475,29
1732143600000,119181,730,29
1732230000000,92357,861,33
1732316400000,90772,858,34
1732402800000,224505,824,31
1732489200000,146972,1199,37
1732575600000,121074,1111,36
1732662000000,141854,1059,39
1732748400000,131935,1099,34
1732834800000,390625,1040,32
1732921200000,280132,1052,35
1733007600000,295613,1081,36
1733094000000,337999,1262,37
1733180400000,201572,1247,38
1733266800000,319058,1320,32
1733353200000,428761,1237,38
1733439600000,136983,1054,32
1733526000000,163714,1078,35
1733612400000,194485,1118,33
1733698800000,147449,1066,36
1733785200000,179399,857,35
1733871600000,190620,852,38
1733958000000,176293,989,33
1734044400000,331556,1428,35
1734130800000,287687,1542,35
1734217200000,375506,1722,40
1734303600000,350524,1732,36
1734390000000,345756,1552,36
1734476400000,342982,1561,39
1734562800000,347649,1563,41
1734649200000,315227,1437,40
1734735600000,319264,1426,33
1734822000000,251604,1448,38
1734908400000,327230,1730,40
1734994800000,449530,1742,40
1735081200000,435130,1575,36
1735167600000,344975,1457,41
1735254000000,632923,1552,39
1735340400000,261880,1233,34
1735426800000,249999,1310,34
1735513200000,325726,1216,30
1735599600000,270013,1242,34
1735686000000,226599,1227,30
1735772400000,219375,1242,29
1735858800000,180140,1010,31
1735945200000,169744,898,28
1736031600000,155944,886,27
1736118000000,163672,1012,32
1736204400000,134858,890,36
1736290800000,155859,924,30
1736377200000,125141,770,29
1736463600000,122585,852,28
1736550000000,94138,727,29
1736636400000,150274,932,33
1736722800000,247707,1310,36
1736809200000,250317,1219,36
1736895600000,241404,1300,35
1736982000000,227627,1350,35
1737068400000,198121,1294,35
1737154800000,225425,1433,35
1737241200000,275863,1565,38
1737327600000,233043,1257,42
1737414000000,126919,974,33
1737500400000,211804,1243,36
1737586800000,293719,1539,40
1737673200000,275956,1364,38
1737759600000,293580,1415,31
1737846000000,288717,1393,36
1737932400000,281845,1439,39
1738018800000,148395,932,30
