url,tpot path (/data/cowrie/downloads),count
ftp://anonymous:anonymous@107.189.4.201/ohshit1.sh,dl/85dd4935e05144cacf3beaa9d41fec740fa142f0250b2b290fb08a7e9fee6693,1
ftp://anonymous:anonymous@156.253.227.112/ohshit1.sh,dl/7c2bd4ab30f95369f63977dc3ef513c36eda93a04998516cecda79aea0dabcc5,1
ftp://anonymous:anonymous@176.65.148.254/ohshit1.sh,dl/1991aa14e7cf5a113365778c4a5324f0f16b0788dac74a46d5945a55b2c1483a,1
ftp://anonymous:anonymous@185.193.127.129/ftp1.sh,dl/6ca3d7a441f82202d467ddd2c3138c756387d15840836124b7987a9a4f8e34cd,5
ftp://anonymous:anonymous@213.171.4.129/ohshit1.sh,dl/d74b37b5649502976cfc17d6ea2747ba90c9711fd937628ad77bc3079385a03f,1
ftp://anonymous:anonymous@45.125.66.215/ftp1.sh,dl/be2942f620524ff0841a90f1e1b5dcfffb8d1875e7fb059ad914a36990195b3e,1
ftp://anonymous:anonymous@87.120.166.37/ohshit1.sh,dl/38812d98890e036df5c8284dc5448561a1b08b7342aa5bca4b4a6fddb23f6518,1
ftp://anonymous:anonymous@anti.linkpc.net/jack5tr1.sh,dl/b3fa7a9748265dc27f88325f387efda26b8972685f169bca2ba48d1626b4f8f1,3
http://1.171.111.202:38937/.i,dl/a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3,1
http://1.70.130.175:62055/.i,dl/a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3,1
http://1.70.162.185:6618/.i,dl/a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3,1
http://107.189.4.201/ohshit.sh,dl/30036e182b2a37cd4c435f98f1dea6474b8ecb5e3dfe03837186617a9dcdbf98,2
http://113.26.81.184:25349/.i,dl/a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3,1
http://123.16.7.237:20305/.i,dl/d5601202dff3017db238145ff21857415f663031aca9b3d534bec8991b12179a,1
http://123.175.68.73:4541/.i,dl/a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3,1
http://128.199.127.217/images/productimages/.jpeg/pax.txt,dl/74e168cac6d7e71423363986299326f2e1fd79343600b3654c12c6ce40aad223,6
http://141.98.10.109:27160/bash,dl/9403abd3f9c52f8357d187d4d2ba11411254390bb10686c60376aac4f22cd4b8,6
http://141.98.10.122/bash,dl/8325ad7ebed7fdd287cc0cd89f81a51617a64b38d09fa3d84c9141477e0dd415,4
http://141.98.10.122/telnet,dl/42fa2db62f271b57cdfd7e1957693de96d711eff3c0fdd089c9482091bbedaef,71
http://144.76.42.188,dl/9278d16ed2fdcd5dc651615b0b8adc6b55fb667a9d106a9891b861d4561d9a24,15
http://147.45.134.193,dl/b9dd2b907ffacdf4e0e9119ec8b7f56048cc1debc117bc8192b43db6b56bd3f6,345
http://152.42.224.225/Binarys/Badag.x86,dl/bae12c94cda69b6eae01304733e41ba8ffdbefba2cb69baa9b5f5f5abc30dd2f,1
http://154.18.239.232/hide/hide.mips,dl/56ebabee4cb6bd860339a40efc45c5e631decb54da5d688d686bf73c652fd53b,3
http://172.82.91.106/p.txt,dl/0007aa8a69792a6e7fab0cf3078897810ce61a1d15bfdc98509c6aa7b1e99fbc,1
http://176.9.107.253,dl/006f955f05621380e62114d72c6a54da46432e01168980f0f3673fb11bc86862,1
http://176.9.107.253,dl/01b371883d8c6b627bae626312a4f498725be8bbc1cb153d281e02b01657bc7c,1
http://176.9.107.253,dl/04d150b4adea03af8223111d6439a8fe68604f74a746d52e34d026ebcd32092b,1
http://176.9.107.253,dl/05ac90e9e3d02594c7770b9bcc0b8cb7408d1c20cadb22aaef0a4fe5b9a09bf3,1
http://176.9.107.253,dl/0c38ae8df2a36e55ad3abf197145da83ac64216683891a9f5802f7182b6cfd36,1
http://176.9.107.253,dl/0e0f74a2e64d490431ef34fcb1b8d44dac9df4fbae22026ba721acc8d5cbbd2f,1
http://176.9.107.253,dl/10b5f78ab8f69b961de8fc056cd855c1bcd5d41a4fada716064f11912d7a3972,1
http://176.9.107.253,dl/11f26a8d79db7a20b5c87edeceb53fc4cf2360b644cfe31b29f617458ce41427,1
http://176.9.107.253,dl/132d3b523f05adee9f1d6f633d65dac4cd18eb3a27b3edf59db20d1e29ea187c,1
http://176.9.107.253,dl/220eed2fc8403a389a0394e14dcc95d2a92786ba17e3b4ef8fb0d7e58af0ab3e,1
http://176.9.107.253,dl/2dbc1877321009c253701354493f7bb703fb1f8941896fe7c010c9b618556e33,1
http://176.9.107.253,dl/317a08e3b6dae87b3a30ab9dc5ee85b995a401c593a8417982048edf48376752,1
http://176.9.107.253,dl/329c3d049fc8ec0e7ce5f8cd0550930e88ac1b7b06764d0887b789e64770fee1,1
http://176.9.107.253,dl/34c6444de006bae8459653a3ed1e2127c7e49a9767a25bed60631e09b4c15d6f,1
http://176.9.107.253,dl/367ae48eff24330e655de2a67621fd550c49263f64d070a6d0c81c47209084d6,1
http://176.9.107.253,dl/382401bd8b1af441aa19c60fdc166f51cb526212422c256897c2ef44dd87abdc,1
http://176.9.107.253,dl/3ed11dd6037b3862eb424c8faa95dc96985ac2f862d614efc3022bab48414c0a,1
http://176.9.107.253,dl/4076a51709cca302c1b19d843505cec05ee6f45c10247175058bc4710a8d07b5,1
http://176.9.107.253,dl/48943f2291134b42f03002f892bda146da0cb80ad0ae910947f29cef3a3bb71f,1
http://176.9.107.253,dl/4e9d621611d68f29db56b8096d4de6deb44ffa9a84a02190b0050327e5996caf,1
http://176.9.107.253,dl/52d1b9d87d29b6a118886c501f4cda26376f995f49cf751985ffb0682ae75770,1
http://176.9.107.253,dl/535effdf3836809c4f3468b096f6a30ed8c0dd112eb4b83cb934fd5e2091e031,1
http://176.9.107.253,dl/55b967b92d3b7249a1efcb10d1f518d0faf48f23d4c8b335b17b7ecbcd5f3dee,1
http://176.9.107.253,dl/57d3ce17e772a0d9d358b70e17680a4455c608d37f984b37b18d55d2b35cd933,1
http://176.9.107.253,dl/57d8cbc20347a2ec472863ff40316bbaa6abcc82fcbd114474af6ccaa7039258,1
http://176.9.107.253,dl/5aa9962de018c283540e1728ff7754c996918199569163517f66c6b351c36c2c,1
http://176.9.107.253,dl/5cafc0ee75e8c20e04e14f30837218379168420c2219d5784b9f683ca85bf22b,1
http://176.9.107.253,dl/5f6e7eb42c5799be623e00e4641e37d25a5680c8a6bc1deaaa7489c6b193dbc7,1
http://176.9.107.253,dl/608776d099afe46830079983178e712797abc89cdc7a0b6208c28bf38d9e1eac,1
http://176.9.107.253,dl/639fa02f0aaa2bb45834550ab89a8b41dce5679c2126b29a72b80af6cdf24a49,1
http://176.9.107.253,dl/64d9f8e5bc7d986248c611d0b46e5d57304cbfa23920b895e6a85a4abb60efdb,1
http://176.9.107.253,dl/67c60969f6c3cb93df99c0f4db0923872756aa5814dd4696870c85730b8c072a,1
http://176.9.107.253,dl/69b4873f4714dba673b3ec0022140dae307fb1aa321d945aaa2b0769f8fc3d2b,1
http://176.9.107.253,dl/69c16fe97c3886719e961442869d2132ba4a9bf6e7fffdf619325d857c7d5435,1
http://176.9.107.253,dl/6b3ce0e4836cc02727e51e914727b365438dfda6c1c88ab08f8e1a67999c5e12,1
http://176.9.107.253,dl/6fefffcdfa17e18c38322a51a00d88f072c823b184dce2ad026abdd788da44a7,1
http://176.9.107.253,dl/712818b8981c3f80898aec63d6a0ec9f0227a4e04dc9d3977227ec4747d85da3,1
http://176.9.107.253,dl/7377a2aa4738e62bfd6d7f3f7e55f38d47a60e278b53a62158657ce372f8031a,1
http://176.9.107.253,dl/74608fe600df833a47580cd8c8bd177b945eb8191afff783db0c49e757718c30,36
