"Timestamp per day",Attacks,"Unique Src IPs"
1721426400000,39746,25905
1721512800000,22683,12436
1721599200000,37754,24720
1721685600000,39894,23224
1721772000000,134441,35387
1721858400000,73927,42729
1721944800000,30079,19204
1722031200000,32178,20657
1722117600000,43320,29310
1722204000000,43574,22342
1722290400000,36429,26553
1722376800000,43275,23458
1722463200000,28993,17083
1722549600000,56125,39079
1722636000000,82198,23783
1722722400000,42152,24718
1722808800000,20521,14861
1722895200000,47565,30366
1722981600000,28786,20367
1723068000000,26968,13688
1723154400000,29028,14396
1723240800000,150151,33332
1723327200000,36964,14548
1723413600000,45635,21922
1723500000000,30590,15942
1723586400000,21143,12710
1723672800000,31221,19767
1723759200000,19883,11862
1723845600000,36154,19816
1723932000000,25957,16399
1724018400000,36835,22140
1724104800000,45125,25716
1724191200000,41348,27070
1724277600000,43183,29299
1724364000000,41974,22322
1724450400000,63143,35009
1724536800000,69999,37886
1724623200000,82347,58065
1724709600000,109591,54245
1724796000000,104274,40839
1724882400000,66431,33630
1724968800000,68456,33717
1725055200000,78959,41920
1725141600000,102283,38225
1725228000000,70188,28836
1725314400000,113717,43861
1725400800000,129566,53004
1725487200000,115678,47813
1725573600000,84044,36637
1725660000000,128755,41827
1725746400000,112652,45355
1725832800000,110051,46757
1725919200000,117347,52693
1726005600000,125902,56920
1726092000000,193478,70183
1726178400000,171172,66480
1726264800000,168900,57672
1726351200000,188526,70520
1726437600000,191452,63299
1726524000000,175790,72177
1726610400000,210622,86368
1726696800000,141996,56232
1726783200000,164370,79091
1726869600000,189834,97484
1726956000000,130734,79562
1727042400000,216163,110986
1727128800000,141283,76936
1727215200000,148125,94326
1727301600000,279671,161344
1727388000000,1418426,922644
1727474400000,3868145,1918289
1727647200000,14536,12604
1728424800000,2216962,112972
1730156400000,108,33
1730242800000,100918,15814
1730329200000,108803,18665
1730415600000,81592,10658
1730502000000,99050,18585
1730588400000,91441,6284
1730674800000,82878,6362
1730761200000,24655,9363
1730847600000,15153,12415
1730934000000,23650,20173
1731020400000,21126,16868
1731106800000,9966,6903
1731193200000,31856,23224
1731279600000,27469,10642
1731366000000,42150,11481
1731452400000,54868,14625
1731538800000,90007,20561
1731625200000,73805,30602
1731711600000,34983,19080
1731798000000,52717,19209
1731884400000,51091,16655
1731970800000,49932,37346
1732057200000,44493,31710
1732143600000,1618569,585141
1732230000000,1114197,480341
1732316400000,107697,52551
1732402800000,43426,26052
1732489200000,44127,22346
1732575600000,64240,25678
1732662000000,93309,28207
1732748400000,66071,29513
1732834800000,78615,26508
1732921200000,76668,24368
1733007600000,71069,25609
1733094000000,85619,29311
1733180400000,68134,28260
1733266800000,73034,32163
1733353200000,81134,33054
1733439600000,85541,29848
1733526000000,103768,28598
1733612400000,88972,26825
1733698800000,101062,30520
1733785200000,127940,24323
1733871600000,165073,21905
1733958000000,171236,24077
1734044400000,300423,28044
1734130800000,300048,24369
1734217200000,267334,26114
1734303600000,215928,96847
1734390000000,7285306,145675
1734476400000,4800103,121387
1734562800000,3781991,118771
1734649200000,1085229,28993
1734735600000,181399,50944
1734822000000,41283,15641
1734908400000,32939,14844
1734994800000,35285,14406
1735081200000,44319,17891
1735167600000,1777049,69717
1735254000000,81140,54196
1735340400000,132496,58340
1735426800000,100695,77399
1735513200000,159385,64187
1735599600000,189137,96952
1735686000000,171137,99722
1735772400000,148933,89010
1735858800000,198030,98664
1735945200000,392126,156587
1736031600000,172371,75027
1736636400000,1119,399
1736722800000,20800,12938
1736809200000,15681,10623
1736895600000,26799,10113
1736982000000,27895,7467
1737068400000,33256,25269
1737154800000,39672,27085
1737241200000,65562,34204
1737327600000,26540,14386
1737414000000,12300,10665
1737500400000,55426,31256
1737586800000,13382,8176
1737673200000,27386,18862
1737759600000,30446,21911
1737846000000,34782,25598
1737932400000,43440,31267
1738018800000,2146,2094
1738191600000,8254,6452
1738278000000,9886,4476
1738364400000,7778,3713
1738450800000,7469,5841
1738537200000,7074,4342
1738623600000,14568,8976
1738710000000,18842,7980
1738796400000,8588,5122
1738882800000,23404,11275
1738969200000,30519,16331
1739055600000,14876,8120
1739142000000,56478,17630
1739228400000,56757,18388
1739314800000,23786,15980
1739401200000,39018,16651
1739487600000,23901,8568
1739574000000,26149,11369
1739660400000,31984,14047
1739746800000,43437,14580
1739833200000,105560,21912
1739919600000,200060,13751
1740006000000,194507,12111
1740092400000,203695,14606
1740178800000,296158,18740
1740265200000,277542,16653
1740351600000,204276,11207
1740438000000,23659,10416
1740524400000,33492,17877
1740610800000,49313,19267
1740697200000,63753,13185
1740783600000,31384,14869
1740870000000,46225,16633
1740956400000,80588,29276
1741042800000,72413,21489
1741129200000,73588,32512
1741215600000,187779,46749
1741302000000,276530,38674
1741388400000,108443,37014
1741474800000,160062,37110
1741561200000,114341,24085
1741647600000,103884,34355
1741734000000,38378,21992
1741820400000,22593,13730
1741906800000,29927,11461
1741993200000,33494,12951
1742079600000,62273,28149
1742166000000,50189,15794
1742252400000,50938,16772
1742338800000,93873,21888
1742425200000,130917,19460
1742511600000,100313,20495
1742598000000,158085,21908
1742684400000,168683,30830
