"Timestamp per day",Attacks,"Unique Src IPs"
1721426400000,21,6
1721512800000,18,6
1721599200000,21,7
1721685600000,17,5
1721772000000,42,13
1721858400000,22,7
1721944800000,21,7
1722031200000,18,5
1722117600000,21,7
1722204000000,14,5
1722290400000,30,9
1722376800000,24,8
1722463200000,33,10
1722549600000,21,7
1722636000000,26,8
1722722400000,19,6
1722808800000,11,4
1722895200000,28,10
1722981600000,29,10
1723068000000,15,5
1723154400000,21,7
1723240800000,36,10
1723327200000,40,12
1723413600000,27,8
1723500000000,25,7
1723586400000,28,6
1723672800000,31,6
1723759200000,34,7
1723845600000,22,6
1723932000000,18,5
1724018400000,58,9
1724104800000,36,10
1724191200000,33,6
1724277600000,33,10
1724364000000,46,8
1724450400000,43,13
1724536800000,44,12
1724623200000,45,12
1724709600000,45,12
1724796000000,54,16
1724882400000,42,11
1724968800000,46,12
1725055200000,104,9
1725141600000,49,14
1725228000000,50,12
1725314400000,61,17
1725400800000,42,10
1725487200000,43,12
1725573600000,119,13
1725660000000,40,10
1725746400000,52,13
1725832800000,52,15
1725919200000,51,12
1726005600000,60,16
1726092000000,57,15
1726178400000,66,17
1726264800000,96,10
1726351200000,134,15
1726437600000,43,11
1726524000000,130,19
1726610400000,36,11
1726696800000,46,12
1726783200000,46,12
1726869600000,68,17
1726956000000,37,10
1727042400000,42,12
1727128800000,25,9
1727215200000,65,14
1727301600000,41,11
1727388000000,58,16
1727474400000,47,12
1727560800000,80,11
1727647200000,88,13
1727733600000,101,17
1727820000000,62,12
1727906400000,113,23
1727992800000,97,15
1728079200000,71,12
1728165600000,51,9
1728252000000,109,28
1728338400000,156,15
1728424800000,377,16
1728511200000,113,13
1728597600000,165,17
1728684000000,125,24
1728770400000,108,14
1728856800000,125,13
1728943200000,144,16
1729029600000,127,21
1729116000000,148,26
1729202400000,118,12
1729288800000,131,13
1729375200000,95,26
1729461600000,106,15
1729548000000,99,13
1729634400000,114,14
1729720800000,46,7
1729807200000,136,17
1729893600000,111,15
1729980000000,79,13
1730070000000,69,11
1730156400000,74,12
1730242800000,102,14
1730329200000,139,14
1730415600000,46,10
1730502000000,85,14
1730588400000,76,12
1730674800000,81,12
1730761200000,93,15
1730847600000,88,13
1730934000000,82,14
1731020400000,95,12
1731106800000,139,15
1731193200000,91,12
1731279600000,42,8
1731366000000,78,15
1731452400000,55,10
1731538800000,87,13
1731625200000,41,7
1731711600000,46,8
1731798000000,108,12
1731884400000,147,14
1731970800000,193,22
1732057200000,101,15
1732143600000,87,13
1732230000000,48,9
1732316400000,67,12
1732402800000,60,14
1732489200000,35,11
1732575600000,57,17
1732662000000,59,19
1732748400000,43,12
1732834800000,49,14
1732921200000,66,18
1733007600000,42,12
1733094000000,70,18
1733180400000,56,15
1733266800000,75,20
1733353200000,98,19
1733439600000,176,17
1733526000000,90,11
1733612400000,60,15
1733698800000,60,16
1733785200000,75,21
1733871600000,53,12
1733958000000,48,14
1734044400000,59,17
1734130800000,38,12
1734217200000,62,19
1734303600000,62,16
1734390000000,48,16
1734476400000,79,20
1734562800000,63,15
1734649200000,99,21
1734735600000,49,14
1734822000000,223,19
1734908400000,123,21
1734994800000,115,25
1735081200000,66,14
1735167600000,51,13
1735254000000,201,27
1735340400000,30,9
1735426800000,61,15
1735513200000,48,12
1735599600000,50,11
1735686000000,82,16
1735772400000,72,11
1735858800000,82,15
1735945200000,35,10
1736031600000,79,12
1736118000000,70,8
1736204400000,53,13
1736290800000,31,10
1736377200000,71,14
1736463600000,217,18
1736550000000,63,17
1736636400000,56,11
1736722800000,70,14
1736809200000,76,15
1736895600000,106,16
1736982000000,97,17
1737068400000,100,17
1737154800000,69,16
1737241200000,101,20
1737327600000,83,18
1737414000000,52,10
1737500400000,59,13
1737586800000,142,23
1737673200000,119,19
1737759600000,76,17
1737846000000,113,21
1737932400000,235,18
1738018800000,69,13
1738105200000,65,9
1738191600000,85,19
1738278000000,92,17
1738364400000,100,14
1738450800000,87,17
1738537200000,71,15
1738623600000,59,12
1738710000000,74,17
1738796400000,87,18
1738882800000,91,18
1738969200000,77,14
1739055600000,46,11
1739142000000,83,21
1739228400000,75,19
1739314800000,29,9
1739401200000,57,16
1739487600000,32,10
1739574000000,54,15
1739660400000,130,20
1739746800000,53,15
1739833200000,51,12
1739919600000,202,14
1740006000000,51,13
1740092400000,64,18
1740178800000,65,16
1740265200000,91,22
1740351600000,45,11
1740438000000,63,16
1740524400000,46,11
1740610800000,49,13
1740697200000,63,18
1740783600000,96,23
1740870000000,69,18
1740956400000,57,15
1741042800000,222,18
1741129200000,79,16
1741215600000,59,14
1741302000000,81,19
1741388400000,68,16
1741474800000,63,18
1741561200000,87,18
1741647600000,76,19
1741734000000,54,12
1741820400000,66,12
1741906800000,78,19
1741993200000,62,17
1742079600000,68,17
1742166000000,59,15
1742252400000,84,19
1742338800000,72,17
1742425200000,228,19
1742511600000,77,24
1742598000000,49,12
1742684400000,39,11
1742770800000,72,15
1742857200000,85,22
1742943600000,51,11
1743030000000,71,16
1743116400000,44,13
1743202800000,40,12
1743289200000,63,14
1743372000000,42,11
1743458400000,45,12
1743544800000,56,17
1743631200000,77,22
1743717600000,54,14
1743804000000,60,19
1743890400000,33,6
1743976800000,39,9
1744063200000,54,13
1744149600000,59,14
1744236000000,119,27
1744322400000,75,17
1744408800000,71,21
1744495200000,168,10
1744581600000,55,16
1744668000000,43,11
1744754400000,46,14
1744840800000,69,17
1744927200000,94,27
1745013600000,74,19
