"Timestamp per day",Attacks,"Unique Src IPs"
1721426400000,47022,200
1721512800000,11760,204
1721599200000,13428,238
1721685600000,29171,209
1721772000000,13461,270
1721858400000,25634,256
1721944800000,16911,255
1722031200000,10353,216
1722117600000,30991,202
1722204000000,22631,253
1722290400000,21896,266
1722376800000,24240,199
1722463200000,23750,228
1722549600000,10835,241
1722636000000,6850,128
1722722400000,21398,193
1722808800000,22562,228
1722895200000,14339,255
1722981600000,4366,215
1723068000000,27218,274
1723154400000,10225,241
1723240800000,28831,404
1723327200000,34319,377
1723413600000,37709,399
1723500000000,40405,396
1723586400000,33471,375
1723672800000,620531,417
1723759200000,230653,427
1723845600000,8089,306
1723932000000,35038,339
1724018400000,14258,446
1724104800000,178604,462
1724191200000,65556,455
1724277600000,37351,463
1724364000000,21455,482
1724450400000,29893,388
1724536800000,15570,409
1724623200000,29120,463
1724709600000,53146,496
1724796000000,77684,513
1724882400000,40998,480
1724968800000,33506,476
1725055200000,19595,445
1725141600000,178860,435
1725228000000,116307,492
1725314400000,61654,547
1725400800000,31459,504
1725487200000,29097,534
1725573600000,23131,473
1725660000000,34782,455
1725746400000,17240,417
1725832800000,44497,499
1725919200000,295716,547
1726005600000,396634,469
1726092000000,51559,507
1726178400000,60276,541
1726264800000,349130,485
1726351200000,76565,403
1726437600000,220735,524
1726524000000,37538,574
1726610400000,44933,556
1726696800000,38363,573
1726783200000,51791,559
1726869600000,23461,504
1726956000000,31953,418
1727042400000,50815,572
1727128800000,42172,237
1727215200000,44201,545
1727301600000,38417,527
1727388000000,46508,443
1727474400000,21012,457
1727560800000,29816,411
1727647200000,30373,542
1727733600000,13096,442
1727820000000,11160,504
1727906400000,17205,538
1727992800000,11998,475
1728079200000,3962,460
1728165600000,15153,476
1728252000000,5680,407
1728338400000,10219,347
1728424800000,17594,623
1728511200000,10215,323
1728597600000,11983,416
1728684000000,6085,402
1728770400000,2143,377
1728856800000,4598,364
1728943200000,2884,398
1729029600000,6625,452
1729116000000,1911,264
1729202400000,1700,411
1729288800000,2196,344
1729375200000,4403,362
1729461600000,1209,334
1729548000000,18880,373
1729634400000,6402,452
1729720800000,1953,434
1729807200000,5162,397
1729893600000,4745,393
1729980000000,6609,387
1730070000000,21066,431
1730156400000,10370,351
1730242800000,25046,399
1730329200000,16725,433
1730415600000,27622,447
1730502000000,18093,446
1730588400000,12798,384
1730674800000,13667,528
1730761200000,37634,539
1730847600000,27355,431
1730934000000,16765,457
1731020400000,14554,415
1731106800000,7109,323
1731193200000,10690,352
1731279600000,27745,408
1731366000000,34378,484
1731452400000,10857,495
1731538800000,27087,456
1731625200000,16468,512
1731711600000,25103,454
1731798000000,10160,405
1731884400000,27789,517
1731970800000,25156,474
1732057200000,10621,463
1732143600000,27598,527
1732230000000,21234,531
1732316400000,26171,596
1732402800000,16804,590
1732489200000,68788,735
1732575600000,61221,762
1732662000000,44238,704
1732748400000,47852,715
1732834800000,27689,694
1732921200000,97113,624
1733007600000,34428,558
1733094000000,66831,723
1733180400000,41976,720
1733266800000,39490,711
1733353200000,41043,746
1733439600000,21935,706
1733526000000,32253,575
1733612400000,49803,578
1733698800000,48856,690
1733785200000,45469,692
1733871600000,35963,723
1733958000000,66265,725
1734044400000,41462,668
1734130800000,18141,545
1734217200000,28345,558
1734303600000,20058,670
1734390000000,27344,691
1734476400000,45732,621
1734562800000,53376,658
1734649200000,45707,659
1734735600000,31237,608
1734822000000,24463,511
1734908400000,43560,638
1734994800000,53641,594
1735081200000,31933,542
1735167600000,41527,599
1735254000000,27351,626
1735340400000,11942,423
1735426800000,18315,416
1735513200000,17463,479
1735599600000,31889,465
1735686000000,20274,419
1735772400000,30964,506
1735858800000,17133,478
1735945200000,24064,428
1736031600000,28749,358
1736118000000,20705,470
1736204400000,13331,486
1736290800000,40895,510
1736377200000,38899,521
1736463600000,31970,505
1736550000000,8388,436
1736636400000,13636,466
1736722800000,32376,643
1736809200000,36755,680
1736895600000,66866,668
1736982000000,36042,655
1737068400000,57442,637
1737154800000,51855,607
1737241200000,21427,572
1737327600000,31248,587
1737414000000,32225,536
1737500400000,36752,622
1737586800000,40636,697
1737673200000,27460,662
1737759600000,24545,579
1737846000000,13287,524
1737932400000,24638,622
1738018800000,24952,518
1738105200000,17668,454
1738191600000,25076,595
1738278000000,46061,675
1738364400000,2479,620
1738450800000,2092,481
1738537200000,10985,591
1738623600000,25743,626
1738710000000,47642,656
1738796400000,50078,701
1738882800000,15016,629
1738969200000,37927,573
1739055600000,64721,489
1739142000000,49287,634
1739228400000,31923,668
1739314800000,19322,564
1739401200000,44827,691
1739487600000,16516,432
1739574000000,24392,603
1739660400000,24030,582
1739746800000,44791,642
1739833200000,43690,644
1739919600000,25684,652
1740006000000,40347,694
1740092400000,49206,627
1740178800000,13681,561
1740265200000,26121,558
1740351600000,57665,707
1740438000000,35293,674
1740524400000,27872,636
1740610800000,42127,681
1740697200000,38434,707
1740783600000,56143,624
1740870000000,23137,497
1740956400000,61202,685
1741042800000,24938,689
1741129200000,31951,764
1741215600000,29938,712
1741302000000,21712,687
1741388400000,27869,599
1741474800000,56809,565
1741561200000,34154,626
1741647600000,39984,684
1741734000000,25810,668
1741820400000,18791,662
1741906800000,15206,632
1741993200000,33539,566
1742079600000,19641,543
1742166000000,25087,646
1742252400000,55499,678
1742338800000,34151,631
1742425200000,33432,616
1742511600000,25337,672
1742598000000,27819,535
1742684400000,45059,566
1742770800000,56272,658
1742857200000,51230,599
1742943600000,44285,663
1743030000000,73057,642
1743116400000,71718,655
1743202800000,42846,551
1743289200000,46583,489
1743372000000,65616,591
1743458400000,38417,617
1743544800000,37076,638
1743631200000,60161,637
1743717600000,35986,622
1743804000000,45682,558
1743890400000,8431,519
1743976800000,19642,620
1744063200000,19606,699
1744149600000,39313,648
1744236000000,26675,612
1744322400000,61431,650
1744408800000,59551,581
1744495200000,22471,539
1744581600000,17062,645
1744668000000,42880,643
1744754400000,51634,636
1744840800000,26686,640
1744927200000,31761,574
1745013600000,36928,555
