username,count
,3770
!Kworks100,5
!kworks100,3
0,10
0.bir,1
0001,1
003,3
005,3
006,3
00A,3
00B,3
00C,3
00E,3
00b,3
01,4
010,3
012,3
01LILIANA,4
01Usuario,2
01_Alejandra_Racines,3
01_Ana_Manzano,4
01_Ana_Saenz,3
01_Ana_Saenz_Canchas,3
01_Andrea_Rodriguez,3
01_Andres_Quilachamin,3
01_Anthony_Balladares,3
01_Anthony_Balladares_Snack,3
01_Anthony_Balladares_Zen,3
01_Arturo_Quiguango,3
01_Belen_Guzman,3
01_Camilo_Campana,3
01_Carlos_Chavez,3
01_Carolina_Valencia,4
01_Christian_Ambuludi,3
01_Dayana_Cola,3
01_Dayana_Moncayo,3
01_Dayana_Moncayo_2,4
01_Edison_Betancourt,3
01_Edison_Bustamante,3
01_Eduardo_Guanoquiza,3
01_Elvis_Nasevilla,3
01_Embert_Villarreal,3
01_Emberth_Villarreal,3
01_Erick_Iza,3
01_Esthela_Estevez,3
01_Fernando_Yanza,3
01_Gabriela_Pardo,4
01_Geovanny_Garzon,3
01_Henry_Changoluisa,4
01_Ivan_Cadena,3
01_Jaime_Cevallos,3
01_Jhon_Tayupanda,4
01_Jhoselyn_Barzola,3
01_Jose_Toabanda,4
01_Juan_DeLaTorre,3
01_Julio_Cayo,3
01_Katherine_Ortiz,3
01_Katherine_Tituana,3
01_Kevin_Churuchumbi,3
01_Luis_Galarza,4
01_Mayra_Tacuri,3
01_Milena_Guerra,3
01_Nicole_Nieto,3
01_Pablo_Llive,3
01_Paola_Mantilla,3
01_Paola_Mantilla_Canchas,3
01_Patricio_Constante,3
01_Romel_Lopez,3
01_Ronny_Cortez,3
01_Ronny_Gonzalez,3
01_Silvana_Rosero,4
01_Vanessa_Cabezas,3
01_Veronica_Rodriguez,4
01_Veronica_Rodriguez_Zen,4
01_alejandra_racines,4
01_ana_manzano,3
01_ana_saenz,4
01_ana_saenz_canchas,3
01_andrea_rodriguez,3
01_anthony_balladares,3
01_anthony_balladares_snack,3
01_anthony_balladares_zen,3
01_arturo_quiguango,3
01_belen_guzman,3
01_camilo_campana,3
01_carlos_chavez,4
01_carolina_valencia,4
01_christian_ambuludi,4
01_dayana_moncayo,3
01_dayana_moncayo_2,3
01_edison_betancourt,3
01_edison_bustamante,3
01_eduardo_guanoquiza,4
01_elvis_nasevilla,3
01_embert_villarreal,4
01_emberth_villarreal,4
01_erick_iza,4
01_esthela_estevez,3
01_fernando_yanza,3
01_gabriela_pardo,3
01_geovanny_garzon,3
01_henry_changoluisa,3
01_ivan_cadena,2
01_jaime_cevallos,4
01_jhon_tayupanda,4
01_jhoselyn_barzola,4
01_jose_toabanda,3
01_juan_delatorre,4
01_julio_cayo,3
01_julio_cayo,3
01_katherine_ortiz,4
01_katherine_tituana,3
01_kevin_churuchumbi,3
01_luis_galarza,4
01_mayra_tacuri,3
01_nicole_nieto,3
01_pablo_llive,3
01_paola_mantilla,4
01_paola_mantilla_canchas,3
01_patricio_constante,4
01_romel_lopez,4
01_ronny_cortez,4
01_ronny_gonzalez,3
01_silvana_rosero,4
01_vanessa_cabezas,3
01_veronica_rodriguez,3
01_veronica_rodriguez_zen,4
01liliana,3
021,4
023,2
024,3
02Usuario,2
02_Andrea_Navas,3
02_Bryan_Suarez,3
02_Eduardo_Carrillo,3
02_Juan_Ponce,3
02_Leonardo_Vite,3
02_Lorena_Barona,3
02_Luis_Fernandez,3
02_Ruth_Bajaña,4
02_Viviana_Soto,3
02_andrea_navas,4
02_bryan_suarez,22
02_eduardo_carrillo,4
02_juan_ponce,4
02_leonardo_vite,4
02_lorena_barona,4
02_luis_fernandez,3
02_ruth_bajaña,4
02_viviana_soto,3
033,3
03_Lorena_Rocano,2
03_Tatiana_Fernandez,3
03_lorena_rocano,3
03_tatiana_fernandez,3
041,3
0429Till01,1
044,3
04_Andrea_Rodriguez,3
04_Andres_Cando,3
04_Diana_Iglesias,3
04_Jose_Toabanda,3
04_Ronny_Cortez,3
04_Ronny_Gonzalez,3
04_andrea_rodriguez,3
04_andres_cando,4
04_diana_iglesias,3
04_jose_toabanda,4
04_ronny_cortez,4
04_ronny_gonzalez,4
052,3
054,3
061,3
062,3
092,3
1,29
"1,00E+01",3
"1,00E+02",3
"1,00E+03",4
10,18
10.ADRIA,4
10.AILA.CAETANO,3
10.CARLEANE,4
10.CELSO,3
10.EMILY.GARCIA,3
10.EMILY.SANTOS,3
10.ESDRAS.TORRES,3
10.INGRID.PINHEIRO,3
10.JOELVITOR,3
10.JOIANE,3
10.JOIANE.PARINTINS,4
10.MILENA.KINDELY,4
10.NEW_RECEPCAO,3
10.TESTEUSER,4
10.TESTEXC,3
10.VITORIA.BERNARDO,3
100,18
1000_Asistente,4
1000_Pamela,3
1000_PruebasApi,3
1000_asistente,4
1000y,3
1001597,3
1002,3
1006,3
1006053,4
1006055,3
1006057,3
1006058,3
1006059,3
1006060,3
1006061,3
1006062,4
1006063,3
1006064,3
1006065,3
1006066,4
1006067,3
1006068,3
1006069,3
1006070,3
1007,3
1007737,4
1007784,3
1007837,3
1007883,3
1007911,3
100USER,3
101,12
1010,4
1017,4
102,15
1021,4
1022,4
1024201,3
1027,3
1027494,3
1028,3
1028921,3
1029288,4
103,12
1030,3
1036784,3
1039941,3
104,12
1040575,3
1044902,4
1046679,3
105,10
1051674,3
105_Administrador,1
105_Alex,4
105_Nancy,4
105_Pruebas,1
105_alex,4
