"Timestamp per day",Attacks,"Unique Src IPs"
1721426400000,28,17
1721512800000,40,22
1721599200000,79,30
1721685600000,55,28
1721772000000,63,31
1721858400000,60,35
1721944800000,64,23
1722031200000,79,27
1722117600000,70,24
1722204000000,69,28
1722290400000,124,32
1722376800000,60,30
1722463200000,61,36
1722549600000,131,27
1722636000000,71,25
1722722400000,61,25
1722808800000,35,18
1722895200000,51,23
1722981600000,38,23
1723068000000,53,29
1723154400000,71,27
1723240800000,137,44
1723327200000,121,52
1723413600000,124,48
1723500000000,134,42
1723586400000,98,32
1723672800000,155,65
1723759200000,124,48
1723845600000,68,33
1723932000000,182,64
1724018400000,110,39
1724104800000,179,83
1724191200000,94,38
1724277600000,152,33
1724364000000,202,82
1724450400000,75,38
1724536800000,55,27
1724623200000,237,59
1724709600000,143,78
1724796000000,134,54
1724882400000,142,84
1724968800000,136,47
1725055200000,147,41
1725141600000,162,45
1725228000000,128,62
1725314400000,241,80
1725400800000,210,58
1725487200000,151,51
1725573600000,190,59
1725660000000,140,68
1725746400000,129,56
1725832800000,183,59
1725919200000,123,43
1726005600000,170,100
1726092000000,111,47
1726178400000,119,47
1726264800000,175,73
1726351200000,206,81
1726437600000,155,105
1726524000000,215,57
1726610400000,238,113
1726696800000,214,120
1726783200000,55,31
1726869600000,117,51
1726956000000,83,38
1727042400000,132,51
1727128800000,41,25
1727215200000,198,50
1727301600000,90,46
1727388000000,64,34
1727474400000,52,35
1727560800000,77,31
1727647200000,61,34
1727733600000,25,18
1727820000000,80,32
1727906400000,91,36
1727992800000,27,20
1728079200000,72,36
1728165600000,53,38
1728252000000,32,21
1728338400000,40,26
1728424800000,66,37
1728511200000,56,28
1728597600000,54,29
1728684000000,31,23
1728770400000,28,22
1728856800000,47,29
1728943200000,26,20
1729029600000,67,37
1729116000000,31,19
1729202400000,14,10
1729288800000,28,21
1729375200000,27,20
1729461600000,36,24
1729548000000,49,33
1729634400000,25,18
1729720800000,47,36
1729807200000,24,18
1729893600000,17,15
1729980000000,72,29
1730070000000,49,30
1730156400000,21,18
1730242800000,62,30
1730329200000,63,38
1730415600000,63,34
1730502000000,119,43
1730588400000,55,28
1730674800000,115,52
1730761200000,75,34
1730847600000,66,30
1730934000000,76,42
1731020400000,93,52
1731106800000,67,35
1731193200000,103,65
1731279600000,52,33
1731366000000,90,30
1731452400000,62,30
1731538800000,64,35
1731625200000,66,36
1731711600000,84,44
1731798000000,86,44
1731884400000,87,41
1731970800000,77,38
1732057200000,73,33
1732143600000,51,28
1732230000000,123,45
1732316400000,112,43
1732402800000,113,44
1732489200000,121,59
1732575600000,214,67
1732662000000,152,67
1732748400000,126,57
1732834800000,139,52
1732921200000,109,47
1733007600000,116,62
1733094000000,196,67
1733180400000,142,56
1733266800000,140,57
1733353200000,133,55
1733439600000,211,71
1733526000000,157,65
1733612400000,197,64
1733698800000,129,51
1733785200000,234,68
1733871600000,148,64
1733958000000,98,47
1734044400000,122,59
1734130800000,133,55
1734217200000,142,63
1734303600000,187,65
1734390000000,154,62
1734476400000,153,67
1734562800000,105,45
1734649200000,123,50
1734735600000,128,58
1734822000000,97,45
1734908400000,206,76
1734994800000,133,47
1735081200000,140,55
1735167600000,101,54
1735254000000,118,42
1735340400000,53,30
1735426800000,70,31
1735513200000,125,40
1735599600000,117,34
1735686000000,57,25
1735772400000,53,27
1735858800000,95,31
1735945200000,82,39
1736031600000,67,33
1736118000000,113,39
1736204400000,67,30
1736290800000,56,37
1736377200000,95,37
1736463600000,76,39
1736550000000,61,33
1736636400000,77,44
1736722800000,169,71
1736809200000,60,31
1736895600000,193,73
1736982000000,124,57
1737068400000,106,45
1737154800000,78,43
1737241200000,81,47
1737327600000,166,67
1737414000000,115,34
1737500400000,93,48
1737586800000,91,49
1737673200000,124,57
1737759600000,168,58
1737846000000,122,60
1737932400000,97,59
1738018800000,68,31
1738105200000,88,38
1738191600000,125,38
1738278000000,164,62
1738364400000,120,50
1738450800000,74,42
1738537200000,149,51
1738623600000,85,41
1738710000000,105,53
1738796400000,144,61
1738882800000,82,43
1738969200000,144,57
1739055600000,91,35
1739142000000,165,65
1739228400000,128,44
1739314800000,122,50
1739401200000,139,68
1739487600000,117,42
1739574000000,189,69
1739660400000,174,68
1739746800000,171,80
1739833200000,164,61
1739919600000,201,69
1740006000000,94,45
1740092400000,166,64
1740178800000,160,58
1740265200000,193,62
1740351600000,184,71
1740438000000,127,65
1740524400000,178,59
1740610800000,177,68
1740697200000,124,57
1740783600000,222,80
1740870000000,119,57
1740956400000,226,79
1741042800000,108,49
1741129200000,247,66
1741215600000,174,71
1741302000000,194,87
1741388400000,199,65
1741474800000,197,60
1741561200000,216,77
1741647600000,93,44
1741734000000,148,65
1741820400000,177,75
1741906800000,136,62
1741993200000,155,62
1742079600000,161,56
1742166000000,129,73
1742252400000,180,63
1742338800000,149,69
1742425200000,190,85
1742511600000,123,64
1742598000000,195,66
1742684400000,116,44
1742770800000,124,66
1742857200000,129,55
1742943600000,169,64
1743030000000,183,80
1743116400000,233,48
1743202800000,99,57
1743289200000,263,60
1743372000000,270,66
1743458400000,151,62
1743544800000,243,55
1743631200000,101,41
1743717600000,230,54
1743804000000,201,80
1743890400000,171,48
1743976800000,274,74
1744063200000,149,66
1744149600000,158,55
1744236000000,185,99
1744322400000,149,61
1744408800000,118,58
1744495200000,197,57
1744581600000,152,62
1744668000000,117,51
1744754400000,201,70
1744840800000,127,68
1744927200000,188,82
1745013600000,141,59
