"Timestamp per day",Attacks,"Unique Src IPs"
1721426400000,1,1
1721599200000,37,3
1721772000000,6123,1
1721858400000,2,1
1721944800000,19,1
1722031200000,4,2
1722204000000,6,2
1722290400000,6,2
1722376800000,15109,2
1722463200000,19,1
1722549600000,5,2
1722636000000,127,27
1722722400000,4455,3
1722808800000,3,1
1722895200000,8,3
1722981600000,21,3
1723068000000,5,2
1723154400000,3,1
1723240800000,399,30
1723327200000,28,4
1723413600000,178,5
1723500000000,3814,5
1723586400000,5097,29
1723672800000,35964,5
1723759200000,4504,6
1723845600000,2043,7
1723932000000,24,2
1724018400000,2020,4
1724104800000,3063,7
1724191200000,3251,6
1724277600000,11662,6
1724364000000,2016,6
1724450400000,2244,55
1724536800000,2030,10
1724623200000,3264,11
1724709600000,5059,12
1724796000000,5274,35
1724882400000,4898,7
1724968800000,3034,12
1725055200000,12949,7
1725141600000,13959,8
1725228000000,1446,32
1725314400000,2034,9
1725400800000,45684,26
1725487200000,15442,14
1725573600000,4024,9
1725660000000,2181,32
1725746400000,21326,11
1725832800000,28074,37
1725919200000,5400,7
1726005600000,13958,11
1726092000000,11862,13
1726178400000,10274,11
1726264800000,2153,8
1726351200000,3130,7
1726437600000,43771,11
1726524000000,30827,15
1726610400000,22457,12
1726696800000,21254,10
1726783200000,35341,14
1726869600000,14495,20
1726956000000,23854,24
1727042400000,35620,16
1727128800000,17123,12
1727215200000,28607,13
1727301600000,12592,21
1727388000000,18714,7
1727474400000,36387,31
1727560800000,8300,6
1727647200000,23493,15
1727733600000,7167,9
1727820000000,18022,8
1727906400000,12111,7
1727992800000,27372,10
1728079200000,10687,26
1728165600000,27207,11
1728252000000,8935,7
1728338400000,9573,8
1728424800000,19033,8
1728511200000,10304,34
1728597600000,4260,2
1728684000000,6066,3
1728770400000,1383,4
1728943200000,8780,23
1729029600000,1460,2
1729116000000,5467,5
1729202400000,1000,2
1729288800000,3914,5
1729375200000,3992,4
1729461600000,4538,6
1729548000000,7893,5
1729634400000,3820,3
1729720800000,951,2
1729807200000,1342,1
1729893600000,2274,4
1729980000000,22734,5
1730070000000,11546,8
1730156400000,3863,5
1730242800000,21504,50
1730329200000,20021,12
1730415600000,26727,9
1730502000000,13340,7
1730588400000,19779,7
1730674800000,14774,31
1730761200000,16688,8
1730847600000,17449,23
1730934000000,24035,9
1731020400000,16706,6
1731106800000,11641,7
1731193200000,13578,6
1731279600000,11761,36
1731366000000,16555,9
1731452400000,37846,10
1731538800000,21899,7
1731625200000,100370,8
1731711600000,22196,9
1731798000000,10720,5
1731884400000,34907,11
1731970800000,13361,27
1732057200000,20500,13
1732143600000,40908,14
1732230000000,28225,41
1732316400000,10043,13
1732402800000,21663,12
1732489200000,44295,18
1732575600000,22224,14
1732662000000,27537,13
1732748400000,33452,60
1732834800000,12765,53
1732921200000,36204,14
1733007600000,17025,13
1733094000000,11375,12
1733180400000,29073,58
1733266800000,13810,30
1733353200000,46115,44
1733439600000,13353,22
1733526000000,36908,10
1733612400000,36525,53
1733698800000,16427,34
1733785200000,33169,14
1733871600000,28455,15
1733958000000,42332,14
1734044400000,27335,12
1734130800000,33520,12
1734217200000,56738,14
1734303600000,32176,15
1734390000000,18813,9
1734476400000,16380,10
1734562800000,33433,14
1734649200000,16669,52
1734735600000,36156,55
1734822000000,34392,15
1734908400000,27782,14
1734994800000,22019,59
1735081200000,22473,31
1735167600000,16583,12
1735254000000,14534,11
1735340400000,29265,14
1735426800000,9722,11
1735513200000,10675,8
1735599600000,15104,10
1735686000000,6646,25
1735772400000,10925,15
1735858800000,7092,13
1735945200000,3831,6
1736031600000,3609,8
1736118000000,3646,20
1736204400000,5119,2
1736290800000,10191,24
1736377200000,17086,9
1736463600000,6085,9
1736550000000,4517,10
1736636400000,5256,21
1736722800000,10277,10
1736809200000,11560,31
1736895600000,13079,11
1736982000000,6881,33
1737068400000,29340,31
1737154800000,13836,7
1737241200000,22927,55
1737327600000,30661,30
1737414000000,19494,36
1737500400000,15592,14
1737586800000,7877,15
1737673200000,11291,51
1737759600000,15874,30
1737846000000,24687,26
1737932400000,36465,10
1738018800000,10845,8
1738105200000,13648,360
1738191600000,82827,294
1738278000000,29046,12
1738364400000,80913,38
1738450800000,67197,46
1738537200000,30595,54
1738623600000,38069,50
1738710000000,38038,43
1738796400000,33100,61
1738882800000,32171,43
1738969200000,21807,17
1739055600000,3903,11
1739142000000,25237,44
1739228400000,92792,60
1739314800000,25123,15
1739401200000,242,13
1739487600000,217,9
1739574000000,340,12
1739660400000,396,11
1739746800000,424,12
1739833200000,295,12
1739919600000,305,10
1740006000000,333,15
1740092400000,289,14
1740178800000,230,9
1740265200000,370,14
1740351600000,293,17
1740438000000,16297,13
1740524400000,15505,11
1740610800000,2569,17
1740697200000,598,55
1740783600000,659,30
1740870000000,869,52
1740956400000,2615,1277
1741042800000,17979,5666
