"Timestamp per day",Attacks,"Unique Src IPs"
1721426400000,12541,2507
1721512800000,11640,2601
1721599200000,11783,2183
1721685600000,13018,1794
1721772000000,19009,2216
1721858400000,13383,2754
1721944800000,10357,2374
1722031200000,11527,2464
1722117600000,11535,2529
1722204000000,62693,2137
1722290400000,70382,1947
1722376800000,13947,2106
1722463200000,19964,2664
1722549600000,14588,2664
1722636000000,15431,2265
1722722400000,15742,2662
1722808800000,57651,2038
1722895200000,28156,1808
1722981600000,76750,2013
1723068000000,18786,2858
1723154400000,13597,2652
1723240800000,25591,3894
1723327200000,21501,3574
1723413600000,52822,3460
1723500000000,23178,2753
1723586400000,18949,2605
1723672800000,40642,3714
1723759200000,26141,3621
1723845600000,30176,3386
1723932000000,31868,3499
1724018400000,35062,3343
1724104800000,17428,2682
1724191200000,17793,2764
1724277600000,23627,3993
1724364000000,28243,3822
1724450400000,33617,3573
1724536800000,41313,3799
1724623200000,27079,3401
1724709600000,40097,2884
1724796000000,34759,3161
1724882400000,64275,4205
1724968800000,56391,3928
1725055200000,74873,3680
1725141600000,37718,3656
1725228000000,33636,3430
1725314400000,31276,2817
1725400800000,92979,3267
1725487200000,43601,4114
1725573600000,100234,4000
1725660000000,37470,3694
1725746400000,46800,3680
1725832800000,106882,3372
1725919200000,58366,2888
1726005600000,57254,3037
1726092000000,112194,4004
1726178400000,130312,3972
1726264800000,170968,3684
1726351200000,188409,3726
1726437600000,122947,3150
1726524000000,300574,2898
1726610400000,118732,3097
1726696800000,40736,4084
1726783200000,114238,3942
1726869600000,96229,3831
1726956000000,159300,3928
1727042400000,84398,2999
1727128800000,70338,2095
1727215200000,96549,2965
1727301600000,115972,4028
1727388000000,132423,3797
1727474400000,37203,3620
1727560800000,76056,3294
1727647200000,115203,2706
1727733600000,65626,2125
1727820000000,32379,2317
1727906400000,62046,2936
1727992800000,21046,3116
1728079200000,74076,2582
1728165600000,88147,2997
1728252000000,16949,2081
1728338400000,28542,1564
1728424800000,573785,2367
1728511200000,86440,2504
1728597600000,21844,1802
1728684000000,20687,1531
1728770400000,19458,1151
1728856800000,18940,919
1728943200000,6985,1155
1729029600000,6522,1189
1729116000000,5317,1239
1729202400000,5640,1248
1729288800000,4233,949
1729375200000,5503,1176
1729461600000,12295,1087
1729548000000,15235,1312
1729634400000,5661,861
1729720800000,21440,918
1729807200000,26823,820
1729893600000,27383,779
1729980000000,21832,1845
1730070000000,11132,1730
1730156400000,5952,1125
1730242800000,10857,2185
1730329200000,59512,3039
1730415600000,19506,3361
1730502000000,108390,2723
1730588400000,27018,2599
1730674800000,14299,2231
1730761200000,38050,1562
1730847600000,32362,2140
1730934000000,34398,3129
1731020400000,21566,2873
1731106800000,33029,2505
1731193200000,20507,2517
1731279600000,14800,2317
1731366000000,15995,2204
1731452400000,27706,2500
1731538800000,30383,3465
1731625200000,33471,3216
1731711600000,26194,2795
1731798000000,47741,2819
1731884400000,75896,2620
1731970800000,51603,1999
1732057200000,29876,2300
1732143600000,28342,3245
1732230000000,45321,4346
1732316400000,50431,4421
1732402800000,69470,4519
1732489200000,86393,4453
1732575600000,70714,4128
1732662000000,69656,4251
1732748400000,92027,5157
1732834800000,78685,5195
1732921200000,82442,4969
1733007600000,56361,4684
1733094000000,180099,3920
1733180400000,248948,3471
1733266800000,56875,4125
1733353200000,87487,5007
1733439600000,291445,5132
1733526000000,234966,4716
1733612400000,81367,4705
1733698800000,80269,4386
1733785200000,58298,3568
1733871600000,84281,4002
1733958000000,81064,5045
1734044400000,115123,4944
1734130800000,102968,4849
1734217200000,50547,4725
1734303600000,53581,4149
1734390000000,48466,3598
1734476400000,49754,4125
1734562800000,196423,4999
1734649200000,99924,5137
1734735600000,191049,5020
1734822000000,109692,4747
1734908400000,266725,4050
1734994800000,288139,3461
1735081200000,84868,3542
1735167600000,56799,4689
1735254000000,200325,4583
1735340400000,39903,3669
1735426800000,56354,3619
1735513200000,45045,2882
1735599600000,55205,2594
1735686000000,58488,2879
1735772400000,49420,3866
1735858800000,29223,3861
1735945200000,24451,3407
1736031600000,44500,3901
1736118000000,60838,3244
1736204400000,20802,2855
1736290800000,23367,3724
1736377200000,63727,4469
1736463600000,21377,4024
1736550000000,17214,3376
1736636400000,24885,4010
1736722800000,39869,4133
1736809200000,35425,3950
1736895600000,33252,4074
1736982000000,36855,4877
1737068400000,31932,4487
1737154800000,33615,4440
1737241200000,76318,4999
1737327600000,37599,4192
1737414000000,25632,2963
1737500400000,28665,3748
1737586800000,137663,4603
1737673200000,54521,4492
1737759600000,45325,4261
1737846000000,167675,4041
1737932400000,45266,3481
1738018800000,39448,2291
1738105200000,76980,2367
1738191600000,97429,4001
1738278000000,54397,4700
1738364400000,62425,4233
1738450800000,56084,4189
1738537200000,53613,3427
1738623600000,67562,3459
1738710000000,69815,4057
1738796400000,48794,4671
1738882800000,36079,4612
1738969200000,34099,4398
1739055600000,60621,3684
1739142000000,68199,4319
1739228400000,48189,3689
1739314800000,43760,3855
1739401200000,65664,5312
1739487600000,45426,4846
1739574000000,53200,5217
1739660400000,47878,5194
1739746800000,49425,4673
1739833200000,40927,4038
1739919600000,43623,4131
1740006000000,44111,5290
1740092400000,58848,5305
1740178800000,100105,4943
1740265200000,84193,5275
1740351600000,72232,4343
1740438000000,56515,3836
1740524400000,83053,4699
1740610800000,64675,5394
1740697200000,74010,5689
1740783600000,76382,5611
1740870000000,57970,5681
1740956400000,53323,5106
1741042800000,49245,4377
1741129200000,64521,3436
1741215600000,56090,4147
1741302000000,447796,5440
1741388400000,114793,5372
1741474800000,55533,5275
1741561200000,67486,4361
1741647600000,55370,4379
1741734000000,59804,5065
1741820400000,112246,5895
1741906800000,139318,5710
1741993200000,135178,5359
1742079600000,129062,5343
1742166000000,131499,4110
1742252400000,224971,4293
1742338800000,73968,4604
1742425200000,67355,5615
1742511600000,58461,5420
1742598000000,59430,5264
1742684400000,77427,5426
1742770800000,122494,4407
1742857200000,59026,4120
1742943600000,58653,4775
1743030000000,128306,5914
1743116400000,195813,5584
1743202800000,112252,5598
1743289200000,49161,5305
1743372000000,55028,4408
1743458400000,53454,4751
1743544800000,74443,5217
1743631200000,133789,6037
1743717600000,113797,6027
1743804000000,84950,5486
1743890400000,325252,5607
1743976800000,58418,4374
1744063200000,55393,4437
1744149600000,61502,4999
1744236000000,102060,5912
1744322400000,129515,5895
1744408800000,356943,5711
1744495200000,203573,5983
1744581600000,59184,4619
1744668000000,53174,4150
1744754400000,63843,4731
1744840800000,70452,5487
1744927200000,83249,5629
1745013600000,66813,5404
