dest_port,count
1024,13858
1026,5617
1027,5002
1028,5800
1029,3899
1030,2920
1031,2813
1032,1926
1033,2056
1034,1687
1035,2054
1036,1733
1037,1779
1038,1777
1039,1818
1040,3004
1041,1943
1042,4091
1043,2485
1044,1745
1045,1681
1046,1673
1047,1797
1048,1899
1049,1929
1050,3117
1051,1722
1052,1653
1053,1830
1054,1744
1055,2359
1056,1902
1057,1602
1058,1851
1059,1644
1060,1687
1061,1670
1062,1606
1063,1738
1064,2613
1065,1851
1066,1718
1067,1606
1068,1865
1069,1720
1070,1696
1071,2277
1072,1549
1073,1603
1074,1582
1075,1567
1076,1687
1077,1517
1078,1604
1079,1672
1081,5128
1082,3288
1083,1901
1084,2642
1085,3585
1086,1778
1087,1673
1088,2510
1089,2583
1090,3643
1091,1895
1092,1579
1093,1559
1094,1556
1095,1807
1096,1586
1097,1671
1098,4376
1099,6036
1100,3147
1101,911
1102,2974
1103,856
1104,1643
1105,1917
1106,1658
1107,2278
1108,1661
1109,323
1110,2894
1111,6217
1112,2976
1113,1712
1114,2558
1115,259
1116,222
1117,1873
1118,271
1119,1760
1120,258
1121,2680
1122,21879
1123,2665
1124,2504
1125,204
1126,1631
1127,209
1128,321
1129,1205
1130,1686
1131,1609
1132,2281
1133,406
1134,213
1135,310
1136,192
1137,1641
1138,1602
1139,735
1140,192
1141,1591
1142,179
1143,1063
1144,235
1145,2160
1146,174
1147,1568
1148,1618
1149,1734
1150,187
1151,1815
1152,1608
1153,1657
1154,1642
1155,434
1156,195
1157,256
1158,906
1159,183
1160,226
1161,177
1162,171
1163,1624
1164,1570
1165,1576
1166,1631
1167,2977
1168,187
1169,1592
1170,209
1171,200
1172,434
1173,173
1174,1710
1175,1656
1176,960
1177,1627
1178,182
1179,185
1180,2742
1181,1288
1182,178
1183,1629
1184,178
1185,1818
1186,1708
1187,1701
1188,1079
1189,312
1190,390
1191,218
1192,1810
1193,324
1194,10247
1195,721
1196,265
1197,305
1198,2199
1199,1744
1200,7087
1201,3387
1202,292
1203,183
1204,181
1205,243
1206,214
1207,317
1208,190
1209,177
1210,192
1211,380
1212,2900
1213,1585
1214,552
1215,167
1216,1613
1217,2822
1218,1574
1219,161
1220,919
1221,1190
1222,417
1223,369
1224,1601
1225,1045
1226,223
1227,156
1228,171
1229,196
1230,230
1231,672
1232,571
1233,1705
1234,14310
1235,1949
1236,2365
1237,175
1238,261
1239,245
1240,186
1241,2370
1242,194
1243,238
1244,2901
1245,335
1246,169
1247,1621
1248,1821
1249,176
1250,3913
1251,188
1252,246
1253,181
1254,201
1255,860
1256,185
1257,167
1258,261
1259,1588
1260,236
1261,372
1262,156
1263,189
1264,156
1265,165
1266,171
1267,161
1268,172
1269,147
1270,1468
1271,1545
1272,1563
1273,179
1274,165
1275,175
1276,174
1277,1537
1278,174
1279,160
1280,771
1281,183
1282,355
1283,295
1284,182
1285,211
1286,183
1287,1551
1288,232
1289,245
1290,478
1291,1260
1292,328
1293,1428
1294,313
1295,158
1296,1516
1297,218
1298,346
1299,394
1300,2430
1301,2441
1302,363
1303,185
1304,1124
1305,180
1306,336
1307,183
1308,170
1309,1589
1310,1521
1311,11349
1312,689
1313,445
1314,521
1315,174
1316,1095
1317,1894
1318,182
1319,173
1320,1229
1321,368
1322,1660
1323,244
1324,162
1325,142
1326,144
1327,166
1328,1523
1329,175
1330,206
1331,1038
1332,159
1333,449
1334,1494
1335,178
1336,173
1337,17517
1338,220
1339,200
1340,186
1341,173
1342,196
1343,369
1344,3970
1345,272
1346,156
1347,197
1348,149
1349,149
1350,179
1351,166
1352,2839
1353,919
1354,162
1355,1651
1356,176
1357,196
1358,315
1359,173
1360,254
1361,311
1362,139
1363,161
1364,852
1365,341
1366,1590
1367,161
1368,155
1369,992
1370,371
1371,169
1372,163
1373,167
1374,163
1375,145
1376,144
1377,320
1378,157
1379,181
1380,351
1381,353
1382,187
1383,359
1384,181
1385,176
1386,163
1387,342
1388,3732
1389,1395
1390,377
1391,235
1392,159
1393,172
1394,165
1395,199
1396,201
1397,197
1398,157
1399,192
1400,6164
1401,215
1402,1029
1403,203
1404,210
1405,188
1406,173
1407,201
1408,193
1409,427
1410,203
1411,235
1412,186
1413,1032
1414,1981
1415,487
1416,301
1417,1573
1418,211
1419,226
1420,249
1421,362
1422,225
1423,158
1424,151
1425,160
1426,162
1427,226
1428,180
1429,152
1430,924
1431,213
1432,287
1434,11622
1435,513
1436,392
1437,443
1438,852
1439,181
1440,350
1441,633
1442,147
1443,8490
1444,1449
1445,719
1446,332
1447,369
1448,194
1449,147
1450,349
1451,1088
1452,343
