"Timestamp per day",Attacks,"Unique Src IPs"
1721426400000,26,20
1721512800000,15,13
1721599200000,17,11
1721685600000,10,8
1721772000000,18,10
1721858400000,16,10
1721944800000,29,21
1722031200000,9,7
1722117600000,10,8
1722204000000,12,9
1722290400000,24,19
1722376800000,10,7
1722463200000,31,22
1722549600000,10,8
1722636000000,16,9
1722722400000,9,8
1722808800000,5,4
1722895200000,9,8
1722981600000,14,11
1723068000000,11,8
1723154400000,16,12
1723240800000,39,29
1723327200000,39,30
1723413600000,31,10
1723500000000,11,9
1723586400000,15,11
1723672800000,23,19
1723759200000,8,7
1723845600000,14,13
1723932000000,10,8
1724018400000,25,13
1724104800000,30,24
1724191200000,17,14
1724277600000,23,18
1724364000000,45,34
1724450400000,19,14
1724536800000,27,18
1724623200000,26,15
1724709600000,47,22
1724796000000,30,19
1724882400000,56,37
1724968800000,46,34
1725055200000,63,21
1725141600000,29,19
1725228000000,38,26
1725314400000,55,39
1725400800000,23,15
1725487200000,37,25
1725573600000,101,19
1725660000000,45,32
1725746400000,39,29
1725832800000,29,20
1725919200000,33,26
1726005600000,31,17
1726092000000,30,22
1726178400000,31,19
1726264800000,101,30
1726351200000,114,23
1726437600000,46,33
1726524000000,102,26
1726610400000,33,17
1726696800000,38,25
1726783200000,42,28
1726869600000,41,28
1726956000000,40,23
1727042400000,29,22
1727128800000,22,17
1727215200000,34,23
1727301600000,37,26
1727388000000,46,26
1727474400000,37,26
1727560800000,19,12
1727647200000,22,17
1727733600000,11,7
1727820000000,10,9
1727906400000,52,17
1727992800000,8,7
1728079200000,21,15
1728165600000,45,29
1728252000000,11,9
1728338400000,32,15
1728424800000,21,16
1728511200000,22,16
1728597600000,16,12
1728684000000,14,11
1728770400000,13,13
1728856800000,14,10
1728943200000,13,9
1729029600000,16,11
1729116000000,17,17
1729202400000,14,13
1729288800000,6,6
1729375200000,7,6
1729461600000,16,13
1729548000000,11,10
1729634400000,10,9
1729720800000,22,18
1729807200000,12,9
1729893600000,4,4
1729980000000,21,15
1730070000000,27,15
1730156400000,15,13
1730242800000,27,17
1730329200000,32,17
1730415600000,49,29
1730502000000,99,27
1730588400000,45,22
1730674800000,30,19
1730761200000,26,17
1730847600000,21,12
1730934000000,35,23
1731020400000,22,15
1731106800000,31,21
1731193200000,40,29
1731279600000,26,19
1731366000000,13,11
1731452400000,19,16
1731538800000,21,16
1731625200000,18,13
1731711600000,31,22
1731798000000,57,23
1731884400000,61,27
1731970800000,20,16
1732057200000,21,16
1732143600000,23,16
1732230000000,35,24
1732316400000,45,32
1732402800000,33,26
1732489200000,41,23
1732575600000,44,28
1732662000000,56,28
1732748400000,36,22
1732834800000,50,33
1732921200000,55,37
1733007600000,33,20
1733094000000,35,22
1733180400000,33,21
1733266800000,58,36
1733353200000,67,34
1733439600000,108,31
1733526000000,62,20
1733612400000,44,28
1733698800000,42,31
1733785200000,35,26
1733871600000,43,27
1733958000000,42,29
1734044400000,45,30
1734130800000,30,17
1734217200000,38,23
1734303600000,29,19
1734390000000,38,29
1734476400000,34,24
1734562800000,42,29
1734649200000,60,27
1734735600000,55,27
1734822000000,49,35
1734908400000,51,36
1734994800000,33,20
1735081200000,29,18
1735167600000,44,25
1735254000000,58,41
1735340400000,23,18
1735426800000,22,16
1735513200000,28,21
1735599600000,19,14
1735686000000,23,14
1735772400000,36,24
1735858800000,21,12
1735945200000,22,18
1736031600000,12,9
1736118000000,29,19
1736204400000,17,12
1736290800000,24,18
1736377200000,47,27
1736463600000,2294,19
1736550000000,19,15
1736636400000,26,19
1736722800000,45,26
1736809200000,33,25
1736895600000,53,37
1736982000000,31,22
1737068400000,65,47
1737154800000,36,25
1737241200000,41,26
1737327600000,40,27
1737414000000,25,19
1737500400000,43,30
1737586800000,57,31
1737673200000,49,30
1737759600000,32,22
1737846000000,49,30
1737932400000,41,27
1738018800000,21,16
1738105200000,30,21
1738191600000,48,32
1738278000000,55,33
1738364400000,43,23
1738450800000,36,20
1738537200000,36,27
1738623600000,46,29
1738710000000,54,35
1738796400000,56,41
1738882800000,29,16
1738969200000,44,23
1739055600000,37,23
1739142000000,61,35
1739228400000,66,31
1739314800000,92,46
1739401200000,92,36
1739487600000,52,29
1739574000000,40,27
1739660400000,42,26
1739746800000,72,43
1739833200000,58,38
1739919600000,66,42
1740006000000,43,27
1740092400000,52,34
1740178800000,42,24
1740265200000,81,31
1740351600000,60,37
1740438000000,70,40
1740524400000,82,45
1740610800000,76,33
1740697200000,49,31
1740783600000,68,46
1740870000000,69,41
1740956400000,75,40
1741042800000,46,34
1741129200000,72,45
1741215600000,65,36
1741302000000,56,36
1741388400000,56,29
1741474800000,49,27
1741561200000,44,29
1741647600000,48,31
1741734000000,99,58
1741820400000,76,43
1741906800000,48,27
1741993200000,56,32
1742079600000,55,42
1742166000000,47,27
1742252400000,39,26
1742338800000,53,32
1742425200000,67,39
1742511600000,64,44
1742598000000,37,25
1742684400000,29,21
1742770800000,70,23
1742857200000,87,53
1742943600000,52,36
1743030000000,82,44
1743116400000,110,29
1743202800000,36,25
1743289200000,83,54
1743372000000,38,25
1743458400000,43,28
1743544800000,48,27
1743631200000,42,28
1743717600000,34,22
1743804000000,57,36
1743890400000,80,25
1743976800000,34,21
1744063200000,41,22
1744149600000,65,40
1744236000000,54,32
1744322400000,43,25
1744408800000,64,38
1744495200000,67,41
1744581600000,40,25
1744668000000,50,36
1744754400000,52,32
1744840800000,55,33
1744927200000,56,35
1745013600000,54,26
