"Timestamp per day",Attacks,"Unique Src IPs"
1721426400000,563,13
1721512800000,1827,19
1721599200000,3344,19
1721685600000,728,17
1721772000000,12423,14
1721858400000,173,19
1721944800000,200,21
1722031200000,144,17
1722117600000,57,16
1722204000000,45,15
1722290400000,122,17
1722376800000,222,17
1722463200000,244,18
1722549600000,282,20
1722636000000,425,18
1722722400000,479,20
1722808800000,359,16
1722895200000,625,17
1722981600000,721,15
1723068000000,1424,25
1723154400000,534,14
1723240800000,221,30
1723327200000,322,29
1723413600000,698,30
1723500000000,594,19
1723586400000,602,22
1723672800000,315,16
1723759200000,263,23
1723845600000,122,17
1723932000000,203,24
1724018400000,1365,26
1724104800000,1228,29
1724191200000,1385,34
1724277600000,1284,23
1724364000000,1378,35
1724450400000,1137,27
1724536800000,599,45
1724623200000,644,36
1724709600000,1100,35
1724796000000,2769,30
1724882400000,1715,34
1724968800000,944,34
1725055200000,1531,32
1725141600000,1542,35
1725228000000,963,34
1725314400000,781,38
1725400800000,609,40
1725487200000,16526,39
1725573600000,2076,36
1725660000000,2701,37
1725746400000,804,27
1725832800000,749,34
1725919200000,1330,45
1726005600000,1883,31
1726092000000,1552,35
1726178400000,1316,30
1726264800000,2652,34
1726351200000,897,36
1726437600000,404,25
1726524000000,788,38
1726610400000,1433,36
1726696800000,1809,34
1726783200000,842,30
1726869600000,1837,37
1726956000000,2183,39
1727042400000,1962,48
1727128800000,2295,32
1727215200000,2944,35
1727301600000,2413,35
1727388000000,2165,37
1727474400000,1770,38
1727560800000,1507,43
1727647200000,838,41
1727733600000,1101,35
1727820000000,783,43
1727906400000,889,38
1727992800000,1049,36
1728079200000,1269,38
1728165600000,1181,42
1728252000000,815,35
1728338400000,1003,40
1728424800000,1708,48
1728511200000,1101,39
1728597600000,635,40
1728684000000,679,39
1728770400000,700,36
1728856800000,583,38
1728943200000,487,34
1729029600000,576,33
1729116000000,428,40
1729202400000,748,37
1729288800000,944,37
1729375200000,362,32
1729461600000,774,32
1729548000000,1687,38
1729634400000,1765,40
1729720800000,1105,42
1729807200000,629,36
1729893600000,302,33
1729980000000,4759,39
1730070000000,509,33
1730156400000,421,39
1730242800000,544,28
1730329200000,1256,44
1730415600000,1455,44
1730502000000,1413,40
1730588400000,762,40
1730674800000,1543,42
1730761200000,2270,52
1730847600000,2035,37
1730934000000,2701,44
1731020400000,3998,45
1731106800000,3606,37
1731193200000,3125,40
1731279600000,4539,45
1731366000000,5312,39
1731452400000,4688,44
1731538800000,4382,45
1731625200000,4188,34
1731711600000,3992,49
1731798000000,4184,40
1731884400000,5366,42
1731970800000,4227,42
1732057200000,4815,37
1732143600000,5707,45
1732230000000,5695,45
1732316400000,4989,54
1732402800000,3740,40
1732489200000,4027,50
1732575600000,9279,51
1732662000000,9867,44
1732748400000,3719,52
1732834800000,3885,46
1732921200000,4128,40
1733007600000,4759,55
1733094000000,4112,54
1733180400000,4172,48
1733266800000,4002,50
1733353200000,4387,56
1733439600000,4691,48
1733526000000,3949,44
1733612400000,3705,55
1733698800000,4111,52
1733785200000,4534,42
1733871600000,5088,39
1733958000000,4829,51
1734044400000,5735,46
1734130800000,5558,38
