"Timestamp per day",Attacks,"Unique Src IPs"
1721426400000,145,13
1721512800000,160,13
1721599200000,183,17
1721685600000,90,12
1721772000000,138,18
1721858400000,91,19
1721944800000,68,15
1722031200000,112,22
1722117600000,129,14
1722204000000,77,11
1722290400000,168,23
1722376800000,77,12
1722463200000,200,20
1722549600000,92,20
1722636000000,59,11
1722722400000,130,15
1722808800000,27,8
1722895200000,180,12
1722981600000,120,15
1723068000000,114,19
1723154400000,106,17
1723240800000,81,19
1723327200000,320,34
1723413600000,391,35
1723500000000,209,22
1723586400000,112,18
1723672800000,195,28
1723759200000,158,21
1723845600000,156,22
1723932000000,99,13
1724018400000,171,27
1724104800000,186,23
1724191200000,220,30
1724277600000,174,29
1724364000000,229,29
1724450400000,258,17
1724536800000,250,36
1724623200000,316,32
1724709600000,469,32
1724796000000,320,44
1724882400000,241,32
1724968800000,346,29
1725055200000,427,26
1725141600000,683,43
1725228000000,214,26
1725314400000,314,41
1725400800000,297,42
1725487200000,403,43
1725573600000,455,37
1725660000000,378,41
1725746400000,328,31
1725832800000,277,37
1725919200000,292,34
1726005600000,234,32
1726092000000,266,36
1726178400000,179,29
1726264800000,376,28
1726351200000,600,36
1726437600000,113,22
1726524000000,455,39
1726610400000,266,34
1726696800000,204,22
1726783200000,325,35
1726869600000,336,35
1726956000000,251,26
1727042400000,245,37
1727128800000,119,21
1727215200000,186,29
1727301600000,219,26
1727388000000,236,31
1727474400000,162,27
1727560800000,133,30
1727647200000,809,25
1727733600000,101,26
1727820000000,137,28
1727906400000,372,44
1727992800000,101,22
1728079200000,328,33
1728165600000,248,25
1728252000000,137,23
1728338400000,306,19
1728424800000,199,39
1728511200000,808,27
1728597600000,140,27
1728684000000,130,22
1728770400000,162,23
1728856800000,103,23
1728943200000,138,23
1729029600000,114,23
1729116000000,109,22
1729202400000,211,34
1729288800000,169,22
1729375200000,129,22
1729461600000,123,25
1729548000000,148,25
1729634400000,126,28
1729720800000,195,25
1729807200000,148,26
1729893600000,157,30
1729980000000,204,33
1730070000000,110,17
1730156400000,177,19
1730242800000,170,28
1730329200000,139,28
1730415600000,224,27
1730502000000,157,25
1730588400000,238,24
1730674800000,239,28
1730761200000,245,33
1730847600000,297,27
1730934000000,248,31
1731020400000,216,26
1731106800000,236,27
1731193200000,165,27
1731279600000,98,17
1731366000000,250,22
1731452400000,137,31
1731538800000,101,22
1731625200000,214,31
1731711600000,245,29
1731798000000,119,21
1731884400000,268,30
1731970800000,278,32
1732057200000,10307,33
1732143600000,29892,29
1732230000000,263,35
1732316400000,998,29
1732402800000,256,34
1732489200000,320,48
1732575600000,234,39
1732662000000,246,33
1732748400000,138,28
1732834800000,216,37
1732921200000,409,35
1733007600000,204,29
1733094000000,165,34
1733180400000,509,30
1733266800000,270,38
1733353200000,520,46
1733439600000,505,34
1733526000000,372,33
1733612400000,263,35
1733698800000,291,35
1733785200000,208,33
1733871600000,339,44
1733958000000,716,50
1734044400000,1006,34
1734130800000,205,30
1734217200000,277,38
1734303600000,209,33
1734390000000,269,43
1734476400000,197,36
1734562800000,178,33
1734649200000,219,39
1734735600000,264,37
1734822000000,221,39
1734908400000,413,38
1734994800000,375,37
1735081200000,379,47
1735167600000,108,25
1735254000000,333,43
1735340400000,107,19
1735426800000,160,15
1735513200000,243,27
1735599600000,159,24
1735686000000,299,27
1735772400000,318,33
1735858800000,282,26
1735945200000,174,28
1736031600000,179,26
1736118000000,157,22
1736204400000,251,27
1736290800000,221,25
1736377200000,228,39
1736463600000,193,38
1736550000000,138,22
1736636400000,164,31
1736722800000,217,39
1736809200000,321,44
1736895600000,369,44
1736982000000,278,41
1737068400000,295,39
1737154800000,421,49
1737241200000,220,36
1737327600000,215,31
1737414000000,406,39
1737500400000,232,34
1737586800000,334,44
1737673200000,352,37
1737759600000,249,35
1737846000000,382,41
1737932400000,241,27
1738018800000,236,31
1738105200000,230,29
1738191600000,261,35
1738278000000,275,39
1738364400000,247,42
1738450800000,197,29
1738537200000,233,34
1738623600000,237,36
1738710000000,173,28
1738796400000,696,45
1738882800000,257,38
1738969200000,295,45
1739055600000,180,29
1739142000000,165,31
1739228400000,214,36
1739314800000,146,28
1739401200000,254,39
1739487600000,164,28
1739574000000,293,48
1739660400000,201,39
1739746800000,230,30
1739833200000,328,47
1739919600000,191,39
1740006000000,221,37
1740092400000,313,47
1740178800000,255,33
1740265200000,428,42
1740351600000,249,34
1740438000000,263,38
1740524400000,309,45
1740610800000,343,38
1740697200000,286,44
1740783600000,346,38
1740870000000,414,47
1740956400000,274,30
1741042800000,218,42
1741129200000,349,40
1741215600000,405,50
1741302000000,1402,51
1741388400000,322,43
1741474800000,411,52
1741561200000,253,31
1741647600000,277,39
1741734000000,398,41
1741820400000,334,44
1741906800000,367,34
1741993200000,517,48
1742079600000,362,43
1742166000000,278,34
1742252400000,617,59
1742338800000,305,39
1742425200000,319,46
1742511600000,243,47
1742598000000,165,33
1742684400000,1634,35
1742770800000,327,57
1742857200000,231,39
1742943600000,310,47
1743030000000,267,42
1743116400000,421,51
1743202800000,251,41
1743289200000,260,45
1743372000000,9972,54
1743458400000,235,34
1743544800000,679,41
1743631200000,290,47
1743717600000,270,38
1743804000000,286,38
1743890400000,389,45
1743976800000,344,46
1744063200000,287,47
1744149600000,239,40
1744236000000,266,42
1744322400000,279,44
1744408800000,356,51
1744495200000,428,48
1744581600000,2562,47
1744668000000,447,50
1744754400000,310,36
1744840800000,298,41
1744927200000,490,57
1745013600000,1344,48
