"Timestamp per day",Attacks,"Unique Src IPs"
1721426400000,159,17
1721512800000,41,25
1721599200000,30,17
1721685600000,52,23
1721772000000,252,24
1721858400000,40,19
1721944800000,34,17
1722031200000,37,20
1722117600000,36,19
1722204000000,51,19
1722290400000,7960,19
1722376800000,204,23
1722463200000,10142,16
1722549600000,145,23
1722636000000,132,25
1722722400000,157,20
1722808800000,259,20
1722895200000,181,16
1722981600000,7239,21
1723068000000,100,20
1723154400000,224,20
1723240800000,2692,36
1723327200000,572,34
1723413600000,2083,36
1723500000000,10042,36
1723586400000,1339,30
1723672800000,1459,31
1723759200000,1434,39
1723845600000,3638,36
1723932000000,1005,28
1724018400000,267,45
1724104800000,310,37
1724191200000,212,40
1724277600000,210,36
1724364000000,366,38
1724450400000,8947,69
1724536800000,13329,74
1724623200000,10829,84
1724709600000,6804,68
1724796000000,713,38
1724882400000,903,45
1724968800000,158,42
1725055200000,147,37
1725141600000,388,40
1725228000000,406,40
1725314400000,1497,44
1725400800000,229,46
1725487200000,393,55
1725573600000,755,46
1725660000000,2700,45
1725746400000,735,51
1725832800000,402,45
1725919200000,405,44
1726005600000,535,46
1726092000000,336,53
1726178400000,427,42
1726264800000,184,44
1726351200000,828,47
1726437600000,1540,51
1726524000000,1377,55
1726610400000,1030,48
1726696800000,2883,30
1726783200000,2958,53
1726869600000,1760,42
1726956000000,2721,34
1727042400000,1868,52
1727128800000,112,30
1727215200000,662,46
1727301600000,569,56
1727388000000,238,38
1727474400000,590,58
1727560800000,2119,36
1727647200000,209,43
1727733600000,937,57
1727820000000,751,63
1727906400000,1077,51
1727992800000,1035,52
1728079200000,1091,56
1728165600000,325,60
1728252000000,453,40
1728338400000,292,47
1728424800000,1354,55
1728511200000,156,51
1728597600000,305,82
1728684000000,419,44
1728770400000,252,49
1728856800000,32205,37
1728943200000,116,30
1729029600000,152,42
1729116000000,27973,38
1729202400000,204,38
1729288800000,300,34
1729375200000,233,34
1729461600000,1180,33
1729548000000,313,51
1729634400000,25335,54
1729720800000,292,38
1729807200000,523,51
1729893600000,157,44
1729980000000,166,42
1730070000000,189,41
1730156400000,316,39
1730242800000,32294,41
1730329200000,263,44
1730415600000,466,63
1730502000000,45028,85
1730588400000,2525,90
1730674800000,1815,88
1730761200000,296,55
1730847600000,297,38
1730934000000,225,49
1731020400000,305,43
1731106800000,531,42
1731193200000,693,43
1731279600000,617,44
1731366000000,593,46
1731452400000,350,44
1731538800000,57219,44
1731625200000,69942,57
1731711600000,490,38
1731798000000,82623,43
1731884400000,1132,47
1731970800000,398,41
1732057200000,820,46
1732143600000,463,42
1732230000000,5135,51
1732316400000,3509,61
1732402800000,1008,73
1732489200000,1031,58
1732575600000,999,66
1732662000000,2773,55
1732748400000,4078,47
1732834800000,4032,64
1732921200000,2206,49
1733007600000,1127,55
1733094000000,5253,75
1733180400000,1289,57
1733266800000,266,47
1733353200000,2489,49
1733439600000,3105,57
1733526000000,636,58
1733612400000,3725,62
1733698800000,2512,66
1733785200000,1263,61
1733871600000,4891,79
1733958000000,10879,64
1734044400000,3016,56
