sip_user_agent,count
123,40
23ddwa,15
3CX Phone System,5
3CXPhone,2
3CXPhoneSystem,4
3CXPhoneSystem 11.0.28976.849 (28862),3
3CXPhoneSystem 15.5.15502.6 (15502),367
3CXPhoneSystem/15.5.0.20,142
40373783310,28
8001,21
801,1139
ADTRAN_Total_Access_908_2nd_Gen/R10.9.6.E,39
AGFEO SIP V3.00.15 b,3
AIYNtBLA,1
AIofYESD,1
AKgiXXsk,1
ALrrXnwH,1
ANORcjgu,1
AVHaZrME,1
AYZbxycO,1
AZUlpGcj,1
AZkfBqtc,1
AaGIvTiq,1
Aastra,3
AeifCruE,1
AffDtxKm,1
AiBicUVH,1
AiYNyjIB,1
Alcatel 3008,1
Alcatel-Lucent 9012,1
Alcatel-Lucent 9020,1
Alcatel-Lucent 9030,2
Alcatel-Lucent 9050,3
Alcatel-Lucent 9070,2
Asterisk PBX,10412
Asterisk PBX 1.6.5,7
Asterisk PBX 11.25.3,2
Asterisk PBX 13.6.0,6
Asterisk PBX 14.1.0,3
Asterisk PBX 20.2.1,6
Asterisk PBX/16.2.1,2
Asterisk PBX/16.2.1 (Ubuntu 20.04),1
Asterisk PBX/16.2.1 Ubuntu/20.04,2
Asterisk PBX/16.5.0,1
Asterisk PBX/16.6.0,1
Asterisk PBX/16.7.0,2
Asterisk PBX/16.8.0,3
Asterisk PBX/16.9.0,1
Asterisk PBX/17.0.0,2
Asterisk PBX/8.4.2,1
AsteriskNow,3216
Auerswald COMpact 5000R sofia-sip/1.12.11,1
Avaya 9600,1
Avaya 9608,1
Avaya 9611,2
Avaya 9616,3
Avaya 9621,2
Avaya 9626,1
Avaya Communicator for iPad,10
Avaya Communicator for iPhone,322
Avaya Flare Engine,4
Avaya IP Phone 1120E,70
Avaya IP Phone 9600,116
Avaya IP iPhone 1120E,1
Avaya J179,1
Avaya J179 IP Phone,4
Avaya one-X Deskphone,2
BAVLAWwI,1
BBIEInEy,1
BEcYjSIi,1
BFJqZPTY,1
BFZsfvUG,1
BISQSReQ,1
BKoVptqc,1
BRZsYWOm,1
BSyKaItR,1
BTJoFqSM,1
BTYtjVIk,1
BUvJcyOO,1
BVxKQreQ,1
BWkGTWPd,1
BYbuIIFQ,1
BhRpBWMr,1
BizCloudEnterprise EasyVideo Win/1.6.3.10,1
BljqkQDC,1
Bria Softphone,1
Bria/1.0.0,2
Bria/2.3.5,85
