"Timestamp per day",Attacks,"Unique Src IPs"
1721426400000,242,48
1721512800000,262,59
1721599200000,177,55
1721685600000,115,57
1721772000000,187,41
1721858400000,176,61
1721944800000,174,45
1722031200000,163,46
1722117600000,124,43
1722204000000,176,65
1722290400000,216,56
1722376800000,118,45
1722463200000,216,47
1722549600000,141,44
1722636000000,133,38
1722722400000,145,39
1722808800000,207,52
1722895200000,194,42
1722981600000,160,44
1723068000000,166,57
1723154400000,302,55
1723240800000,575,101
1723327200000,276,63
1723413600000,254,71
1723500000000,271,68
1723586400000,347,62
1723672800000,525,73
1723759200000,386,75
1723845600000,268,50
1723932000000,225,67
1724018400000,387,92
1724104800000,475,86
1724191200000,412,94
1724277600000,345,87
1724364000000,285,80
1724450400000,336,73
1724536800000,310,84
1724623200000,291,76
1724709600000,347,99
1724796000000,551,100
1724882400000,485,87
1724968800000,476,101
1725055200000,333,82
1725141600000,345,81
1725228000000,418,93
1725314400000,375,98
1725400800000,430,88
1725487200000,301,77
1725573600000,606,132
1725660000000,422,100
1725746400000,416,84
1725832800000,328,81
1725919200000,318,76
1726005600000,409,82
1726092000000,312,89
1726178400000,290,88
1726264800000,454,83
1726351200000,424,82
1726437600000,561,122
1726524000000,617,103
1726610400000,396,89
1726696800000,364,99
1726783200000,404,96
1726869600000,522,96
1726956000000,417,95
1727042400000,686,89
1727128800000,196,71
1727215200000,840,82
1727301600000,489,86
1727388000000,496,88
1727474400000,1297,106
1727560800000,282,62
1727647200000,326,65
1727733600000,197,51
1727820000000,249,72
1727906400000,385,70
1727992800000,478,75
1728079200000,194,63
1728165600000,532,81
1728252000000,348,64
1728338400000,235,64
1728424800000,425,83
1728511200000,321,61
1728597600000,260,65
1728684000000,75,44
1728770400000,78,32
1728856800000,71,35
1728943200000,85,52
1729029600000,177,66
1729116000000,49,31
1729202400000,79,48
1729288800000,199,54
1729375200000,214,52
1729461600000,229,66
1729548000000,143,59
1729634400000,232,64
1729720800000,305,55
1729807200000,169,43
1729893600000,150,54
1729980000000,296,87
1730070000000,304,77
1730156400000,197,60
1730242800000,344,99
1730329200000,339,107
1730415600000,671,99
1730502000000,358,114
1730588400000,241,91
1730674800000,708,112
1730761200000,303,122
