"Timestamp per day",Attacks,"Unique Src IPs"
1721858400000,2,1
1722204000000,1,1
1722290400000,11,1
1723672800000,2,1
1723759200000,22,1
1724018400000,1,1
1724104800000,14,2
1724709600000,2,1
1724796000000,22,1
1726092000000,2,1
1726178400000,22,1
1726351200000,1,1
1726524000000,1,1
1726610400000,2,1
1726696800000,22,1
1728079200000,2,1
1729116000000,2,1
1731106800000,2,1
1731193200000,11,1
1731452400000,6,1
1731538800000,3,1
1731884400000,2,1
1731970800000,6,4
1732057200000,4,1
1732834800000,3,1
1732921200000,33,1
1733094000000,5,1
1734130800000,3,1
1734217200000,33,1
1736031600000,2,1
1736118000000,11,1
1736290800000,2,2
1736377200000,1,1
1736463600000,12,1
1738364400000,3,1
1738450800000,23,1
1739487600000,4,1
1739919600000,1,1
1740006000000,3,3
1740092400000,8,6
1740178800000,37,5
1740265200000,6,6
1740351600000,2,2
1740438000000,5,5
1740524400000,5,5
1740610800000,5,5
1740697200000,6,6
1740783600000,4,4
1740870000000,3,3
1740956400000,6,6
1741042800000,6,6
1741129200000,4,4
1741215600000,6,6
1741302000000,4,3
1741388400000,6,6
1741474800000,8,6
1741561200000,36,4
1741647600000,4,4
1741734000000,5,4
1741820400000,5,5
1741906800000,4,4
1741993200000,3,3
1742079600000,4,4
1742166000000,3,3
1742252400000,7,7
1742338800000,4,4
1742425200000,7,6
1742511600000,2,2
1742598000000,6,6
1742684400000,8,5
1742770800000,2,2
1742857200000,3,3
1742943600000,4,3
1743030000000,5,5
1743372000000,3,1
1743458400000,33,1
1743717600000,8,1
1744840800000,3,3
1744927200000,6,6
1745013600000,7,5
