"geoip.country_name.keyword: Descending","DestPort: Descending",Count
Brazil,53,29153415
Brazil,22,439048
Brazil,445,194098
Brazil,123,83552
Brazil,11008,20437
Brazil,23,14983
Brazil,1080,7119
Brazil,25,3695
Brazil,1433,1982
Brazil,5900,1901
"United States",53,2316728
"United States",123,1075305
"United States",22,684253
"United States",5900,280997
"United States",2222,207022
"United States",5060,162662
"United States",25,101385
"United States",445,79552
"United States",5038,79094
"United States",443,61843
China,53,4158757
China,123,1424398
China,445,439186
China,22,429839
China,23,92150
China,6379,50403
China,1433,41805
China,25,28301
China,21,18792
China,2323,15972
Taiwan,23,308732
Taiwan,445,138545
Taiwan,53,45394
Taiwan,22,12808
Taiwan,123,11065
Taiwan,34567,1947
Taiwan,80,1826
Taiwan,2121,1713
Taiwan,5900,1488
Taiwan,21,1021
"The Netherlands",5900,510075
"The Netherlands",22,327077
"The Netherlands",5060,302338
"The Netherlands",53,202146
"The Netherlands",25,140495
"The Netherlands",80,56747
"The Netherlands",1433,51514
"The Netherlands",123,39926
"The Netherlands",110,22035
"The Netherlands",1080,17521
Russia,5900,1416894
Russia,445,622516
Russia,53,362155
Russia,22,179179
Russia,22222,156113
Russia,1080,70313
Russia,123,30940
Russia,1433,19936
Russia,23,14734
Russia,8888,6889
Bulgaria,22,274838
Bulgaria,5900,257077
Bulgaria,53,84603
Bulgaria,25,59366
Bulgaria,445,26517
Bulgaria,8081,8500
Bulgaria,443,6185
Bulgaria,80,5779
Bulgaria,9080,4869
Bulgaria,3128,4228
France,1433,2378085
France,80,432719
France,53,334360
France,22,262564
France,5060,141753
France,8728,128725
France,7999,126859
France,37215,126533
France,123,41350
France,25,28530
Germany,53,496432
Germany,22,255848
Germany,5900,200956
Germany,123,73208
Germany,25,27485
Germany,445,19518
Germany,4321,11108
Germany,5060,10726
Germany,80,9246
Germany,23,7163
India,445,869090
India,22,560898
India,23,58243
India,53,50599
India,123,18728
India,5900,5652
India,1080,5384
India,80,2952
India,2121,2820
India,21,2779
Romania,5060,1991353
Romania,53,339609
Romania,25,173596
Romania,22,41873
Romania,445,24353
Romania,110,6123
Romania,123,3394
Romania,5038,1461
Romania,23,756
Romania,80,646
Vietnam,445,810066
Vietnam,22,185161
Vietnam,23,183343
Vietnam,53,159712
Vietnam,123,14824
Vietnam,1080,3016
Vietnam,80,2628
Vietnam,5555,2313
Vietnam,2121,1542
Vietnam,135,1526
"Hong Kong",123,763195
"Hong Kong",53,741986
"Hong Kong",5060,408531
"Hong Kong",22,100601
"Hong Kong",445,96950
"Hong Kong",5900,63228
"Hong Kong",23,14432
"Hong Kong",25,12025
"Hong Kong",9000,5014
"Hong Kong",9001,4962
"United Kingdom",53,308018
"United Kingdom",123,119498
"United Kingdom",22,52116
"United Kingdom",25,23892
"United Kingdom",445,13625
"United Kingdom",80,9875
"United Kingdom",3306,7595
"United Kingdom",443,6921
"United Kingdom",5038,6320
"United Kingdom",23,5971
"Türkiye",53,818786
"Türkiye",2222,227597
"Türkiye",445,142204
"Türkiye",22,103691
"Türkiye",22222,68662
"Türkiye",123,6893
"Türkiye",23,3069
"Türkiye",5038,2555
"Türkiye",11008,2472
"Türkiye",25,1972
Belgium,53,15560
Belgium,445,12336
Belgium,1025,4443
Belgium,123,3237
Belgium,5038,2864
Belgium,3128,1435
Belgium,21,1349
Belgium,3306,1346
Belgium,22,1294
Belgium,9200,1200
