"os.keyword: Descending",Count
"__missing__",342183841
"Linux 2.2.x-3.x",54436378
"Windows NT kernel",21113478
"Windows 7 or 8",19075578
"Linux 3.11 and newer",8405306
"Linux 2.2.x-3.x (barebone)",4228227
"Linux 3.1-3.10",893018
"Linux 2.2.x-3.x (no timestamps)",804851
"Windows NT kernel 5.x",651584
"Windows NT kernel 6.x",458666
"Linux 3.x",156162
"Windows XP",128058
"Linux 2.6.x",103885
"Linux 2.4.x",77499
"Linux 2.4.x-2.6.x",55853
"Mac OS X",54851
"Nintendo 3DS",22018
"Nintendo Wii",1327
FreeBSD,1098
"Linux (Android)",1089
"Mac OS X 10.x",970
"Linux 2.0",441
"FreeBSD 9.x or newer",367
BaiduSpider,191
"Linux 2.2.x",5
"FreeBSD 8.x",3
,1
L,1
"Solaris 10",1
